Specimen label,"i80_90_1"
End date,"8/16/2018 5:01 PM"
Area,"13.20254",mm^2
Axial Gauge Length,"16.10789",mm
Maximum Load,"385.02722",N
Tensile stress at Yield (Offset 0.2 %),"28.23979",MPa
Modulus,"2713.09676",MPa
Tensile strain (Video axial strain) at Maximum Load,"0.01465",mm/mm
Tensile stress at Maximum Load,"29.16311",MPa
Specimen note 1,""

Time,Extension,Load,Tensile Stress,Axial Strain
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","-1.96556","-0.14888","-0.00012"
"0.10000","0.00849","1.55867","0.11806","0.00003"
"0.20000","0.02948","19.38252","1.46809","0.00042"
"0.30000","0.04969","37.95031","2.87447","0.00125"
"0.40000","0.06726","53.73444","4.07001","0.00183"
"0.50000","0.08388","67.88943","5.14215","0.00202"
"0.60000","0.10045","81.70056","6.18824","0.00244"
"0.70000","0.11707","95.39445","7.22546","0.00281"
"0.80000","0.13375","108.81720","8.24214","0.00318"
"0.90000","0.15043","122.23158","9.25818","0.00349"
"1.00000","0.16699","135.28671","10.24702","0.00396"
"1.10000","0.18373","148.35619","11.23694","0.00431"
"1.20000","0.20041","161.18716","12.20880","0.00471"
"1.30000","0.21698","173.79211","13.16353","0.00500"
"1.40000","0.23372","186.36172","14.11559","0.00551"
"1.50000","0.25040","198.60982","15.04330","0.00579"
"1.60000","0.26702","210.68939","15.95824","0.00623"
"1.70000","0.28376","222.75459","16.87210","0.00667"
"1.80000","0.30032","234.44881","17.75785","0.00708"
"1.90000","0.31706","246.00841","18.63341","0.00732"
"2.00000","0.33369","257.10803","19.47413","0.00773"
"2.10000","0.35031","268.10526","20.30709","0.00825"
"2.20000","0.36705","278.76639","21.11460","0.00823"
"2.30000","0.38367","289.11862","21.89871","0.00876"
"2.40000","0.40029","299.19705","22.66208","0.00929"
"2.50000","0.41703","309.14062","23.41523","0.00987"
"2.60000","0.43359","318.48114","24.12271","0.01000"
"2.70000","0.45033","327.57861","24.81178","0.01034"
"2.80000","0.46696","336.44431","25.48330","0.01091"
"2.90000","0.48364","344.55597","26.09770","0.01099"
"3.00000","0.50038","352.32166","26.68589","0.01142"
"3.10000","0.51694","359.72073","27.24632","0.01195"
"3.20000","0.53362","366.32962","27.74690","0.01226"
"3.30000","0.55036","372.27454","28.19718","0.01250"
"3.40000","0.56692","377.52866","28.59515","0.01269"
"3.50000","0.58367","381.96649","28.93128","0.01321"
"3.60000","0.60035","385.02722","29.16311","0.01359"
"3.70000","0.61697","384.97964","29.15951","0.01421"
"3.79000","0.63204","111.23008","8.42490","0.01468"
