Specimen label,"i20_90_1"
End date,"8/17/2018 5:39 PM"
Area,"13.20254",mm^2
Axial Gauge Length,"16.26854",mm
Maximum Load,"248.02864",N
Tensile stress at Yield (Offset 0.2 %),,MPa
Modulus,"2733.80465",MPa
Tensile strain (Video axial strain) at Maximum Load,"0.00663",mm/mm
Tensile stress at Maximum Load,"18.78643",MPa
Specimen note 1,""

Time,Extension,Load,Tensile Stress,Axial Strain
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","0.93317","0.07068","0.00006"
"0.10000","0.00861","3.26845","0.24756","0.00012"
"0.20000","0.02906","17.92451","1.35766","0.00064"
"0.30000","0.04945","33.99220","2.57467","0.00119"
"0.40000","0.06720","47.56977","3.60308","0.00161"
"0.50000","0.08394","59.72277","4.52358","0.00203"
"0.60000","0.10045","71.45746","5.41240","0.00247"
"0.70000","0.11707","83.14532","6.29767","0.00293"
"0.80000","0.13375","94.83253","7.18290","0.00333"
"0.90000","0.15031","106.24989","8.04768","0.00363"
"1.00000","0.16711","117.40559","8.89265","0.00407"
"1.10000","0.18373","128.48827","9.73208","0.00447"
"1.20000","0.20041","139.36551","10.55596","0.00471"
"1.30000","0.21704","149.95607","11.35812","0.00506"
"1.40000","0.23372","160.48901","12.15592","0.00535"
"1.50000","0.25040","170.68246","12.92800","0.00560"
"1.60000","0.26708","180.83865","13.69726","0.00590"
"1.70000","0.28370","190.57964","14.43507","0.00622"
"1.80000","0.30044","199.98058","15.14713","0.00653"
"1.90000","0.31706","209.05710","15.83461","0.00678"
"2.00000","0.33369","217.61116","16.48252","0.00697"
"2.10000","0.35037","225.62239","17.08931","0.00725"
"2.20000","0.36705","232.47501","17.60835","0.00743"
"2.30000","0.38373","236.75655","17.93265","0.00729"
"2.40000","0.40035","241.08069","18.26017","0.00739"
"2.50000","0.41697","244.63310","18.52924","0.00734"
"2.60000","0.43365","247.61966","18.75545","0.00705"
"2.70000","0.45033","248.02864","18.78643","0.00663"
"2.80000","0.46708","232.94704","17.64410","0.00481"
"2.90000","0.48370","175.04782","13.25864","-0.00055"
"3.00000","0.50038","169.03766","12.80342","-0.00133"
"3.10000","0.51700","167.06363","12.65390","-0.00189"
"3.20000","0.53368","166.11005","12.58167","-0.00224"
"3.30000","0.55036","163.98119","12.42042","-0.00257"
"3.40000","0.56698","160.39624","12.14889","-0.00293"
"3.50000","0.58373","155.92552","11.81026","-0.00310"
"3.60000","0.60035","141.44514","10.71348","-0.00374"
"3.62200","0.60399","74.12489","5.61444","-0.00386"
