Specimen label,"i60_90_1"
End date,"8/17/2018 4:28 PM"
Area,"13.20254",mm^2
Axial Gauge Length,"14.42843",mm
Maximum Load,"302.79117",N
Tensile stress at Yield (Offset 0.2 %),"22.41307",MPa
Modulus,"2109.12060",MPa
Tensile strain (Video axial strain) at Maximum Load,"0.01379",mm/mm
Tensile stress at Maximum Load,"22.93431",MPa
Specimen note 1,""

Time,Extension,Load,Tensile Stress,Axial Strain
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","-0.05578","-0.00423","0.00002"
"0.10000","0.00837","2.69645","0.20424","0.00011"
"0.20000","0.02918","18.05580","1.36760","0.00055"
"0.30000","0.04963","34.68588","2.62721","0.00117"
"0.40000","0.06720","48.69920","3.68862","0.00198"
"0.50000","0.08388","61.43050","4.65293","0.00241"
"0.60000","0.10045","73.83811","5.59272","0.00287"
"0.70000","0.11701","86.04244","6.51711","0.00317"
"0.80000","0.13369","98.25900","7.44243","0.00369"
"0.90000","0.15043","110.29417","8.35401","0.00418"
"1.00000","0.16699","122.26721","9.26088","0.00465"
"1.10000","0.18379","134.11983","10.15864","0.00519"
"1.20000","0.20029","145.66414","11.03304","0.00573"
"1.30000","0.21698","157.29507","11.91400","0.00634"
"1.40000","0.23372","168.73895","12.78079","0.00693"
"1.50000","0.25034","180.00018","13.63375","0.00744"
"1.60000","0.26708","191.22090","14.48364","0.00800"
"1.70000","0.28376","202.37477","15.32847","0.00865"
"1.80000","0.30026","212.94684","16.12923","0.00915"
"1.90000","0.31706","223.65791","16.94052","0.00961"
"2.00000","0.33369","233.94899","17.71999","0.01002"
"2.10000","0.35037","244.04375","18.48460","0.01046"
"2.20000","0.36699","253.86063","19.22816","0.01089"
"2.30000","0.38361","263.28949","19.94233","0.01132"
"2.40000","0.40029","272.45856","20.63682","0.01161"
"2.50000","0.41703","280.95828","21.28062","0.01208"
"2.60000","0.43359","288.68127","21.86558","0.01254"
"2.70000","0.45033","295.43213","22.37691","0.01274"
"2.80000","0.46696","299.98453","22.72172","0.01331"
"2.90000","0.48370","302.79117","22.93431","0.01379"
"3.00000","0.50032","299.08188","22.65335","0.01443"
"3.10000","0.51688","263.38574","19.94962","0.01508"
"3.20000","0.53368","255.12505","19.32393","0.01544"
"3.30000","0.55018","253.31425","19.18678","0.01573"
"3.40000","0.56698","250.73170","18.99117","0.01595"
"3.50000","0.58367","247.00410","18.70883","0.01624"
"3.60000","0.60029","191.35661","14.49392","0.01254"
"3.63200","0.60567","83.55409","6.32864","0.00501"
