Specimen label,"i40_45_2"
End date,"8/17/2018 5:23 PM"
Area,"13.20254",mm^2
Axial Gauge Length,"13.97857",mm
Maximum Load,"204.21204",N
Tensile stress at Yield (Offset 0.2 %),"13.57793",MPa
Modulus,"1724.45035",MPa
Tensile strain (Video axial strain) at Maximum Load,"0.01198",mm/mm
Tensile stress at Maximum Load,"15.46763",MPa
Specimen note 1,""

Time,Extension,Load,Tensile Stress,Axial Strain
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","-0.30673","-0.02323","0.00009"
"0.10000","0.00831","0.73500","0.05567","0.00010"
"0.20000","0.02876","11.63999","0.88165","0.00058"
"0.30000","0.04933","23.80122","1.80278","0.00117"
"0.40000","0.06726","34.15917","2.58732","0.00160"
"0.50000","0.08388","43.37066","3.28502","0.00197"
"0.60000","0.10051","52.45555","3.97314","0.00231"
"0.70000","0.11713","61.44420","4.65397","0.00279"
"0.80000","0.13375","70.18370","5.31592","0.00324"
"0.90000","0.15043","78.99604","5.98340","0.00370"
"1.00000","0.16711","87.67670","6.64089","0.00399"
"1.10000","0.18373","96.20612","7.28694","0.00440"
"1.20000","0.20041","104.48097","7.91370","0.00531"
"1.30000","0.21710","112.93493","8.55403","0.00614"
"1.40000","0.23378","120.97980","9.16337","0.00645"
"1.50000","0.25040","128.96161","9.76794","0.00688"
"1.60000","0.26708","136.80142","10.36175","0.00758"
"1.70000","0.28376","144.48849","10.94399","0.00795"
"1.80000","0.30038","151.77629","11.49599","0.00821"
"1.90000","0.31700","158.71396","12.02147","0.00877"
"2.00000","0.33375","165.64839","12.54670","0.00904"
"2.10000","0.35043","172.18495","13.04180","0.00947"
"2.20000","0.36705","178.20488","13.49777","0.00986"
"2.30000","0.38367","183.65898","13.91088","0.01037"
"2.40000","0.40029","188.72449","14.29456","0.01058"
"2.50000","0.41703","193.48470","14.65511","0.01093"
"2.60000","0.43371","197.74809","14.97803","0.01075"
"2.70000","0.45033","200.87044","15.21453","0.01111"
"2.80000","0.46702","203.46402","15.41097","0.01131"
"2.90000","0.48370","204.21204","15.46763","0.01198"
"3.00000","0.50032","201.70178","15.27749","0.01236"
"3.10000","0.51706","201.13913","15.23488","0.01299"
"3.20000","0.53368","200.56755","15.19158","0.01356"
"3.30000","0.55036","198.18871","15.01140","0.01467"
"3.40000","0.56704","183.86652","13.92660","0.01668"
"3.43800","0.57338","58.04469","4.39648","0.02255"
