Specimen label,"100i_45_1"
End date,"9/18/2018 11:45 AM"
Area,"13.20254",mm^2
Axial Gauge Length,"12.79509",mm
Maximum Load,"550.66974",N
Tensile stress at Yield (Offset 0.2 %),"35.70234",MPa
Modulus,"1928.33980",MPa
Tensile strain (Video axial strain) at Maximum Load,"0.02586",mm/mm
Tensile stress at Maximum Load,"41.70937",MPa
Specimen note 1,""

Time,Extension,Load,Tensile Stress,Axial Strain
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00012","-1.76332","-0.13356","-0.00026"
"0.10000","0.00825","0.88830","0.06728","-0.00004"
"0.20000","0.02852","18.90488","1.43191","0.00053"
"0.30000","0.04939","40.16882","3.04251","0.00144"
"0.40000","0.06726","58.33167","4.41821","0.00215"
"0.50000","0.08400","74.21730","5.62144","0.00273"
"0.60000","0.10057","89.92269","6.81101","0.00331"
"0.70000","0.11719","105.74165","8.00919","0.00400"
"0.80000","0.13387","121.22552","9.18198","0.00463"
"0.90000","0.15055","136.66199","10.35119","0.00525"
"1.00000","0.16711","151.98436","11.51175","0.00594"
"1.10000","0.18391","167.47780","12.68527","0.00663"
"1.20000","0.20041","182.51817","13.82447","0.00728"
"1.30000","0.21716","197.33037","14.94639","0.00786"
"1.40000","0.23378","211.88963","16.04915","0.00841"
"1.50000","0.25046","226.74783","17.17456","0.00903"
"1.60000","0.26720","241.65465","18.30364","0.00970"
"1.70000","0.28382","255.74944","19.37123","0.01031"
"1.80000","0.30044","269.86450","20.44034","0.01106"
"1.90000","0.31718","284.27747","21.53202","0.01167"
"2.00000","0.33380","298.71161","22.62531","0.01226"
"2.10000","0.35055","312.19809","23.64681","0.01279"
"2.20000","0.36711","325.64508","24.66533","0.01341"
"2.30000","0.38373","339.30960","25.70032","0.01397"
"2.40000","0.40047","352.47507","26.69751","0.01468"
"2.50000","0.41715","365.85809","27.71118","0.01523"
"2.60000","0.43371","378.65454","28.68042","0.01566"
"2.70000","0.45051","391.56744","29.65849","0.01538"
"2.80000","0.46702","403.83215","30.58745","0.01686"
"2.90000","0.48382","416.11438","31.51774","0.01728"
"3.00000","0.50050","427.98102","32.41656","0.01798"
"3.10000","0.51712","439.88599","33.31828","0.01858"
"3.20000","0.53374","450.92007","34.15403","0.01916"
"3.30000","0.55042","462.33331","35.01851","0.01994"
"3.40000","0.56710","473.12531","35.83592","0.02042"
"3.50000","0.58378","483.47403","36.61977","0.02056"
"3.60000","0.60041","493.11627","37.35010","0.02080"
"3.70000","0.61715","502.65485","38.07258","0.02082"
"3.80000","0.63383","511.45261","38.73895","0.02166"
"3.90000","0.65039","519.45270","39.34490","0.02236"
"4.00000","0.66713","527.60095","39.96207","0.02298"
"4.10000","0.68381","534.05957","40.45126","0.02383"
"4.20000","0.70043","540.20026","40.91638","0.02426"
"4.30000","0.71706","545.41992","41.31173","0.02472"
"4.40000","0.73380","548.81360","41.56878","0.02550"
"4.50000","0.75042","550.66974","41.70937","0.02586"
"4.60000","0.76710","549.27521","41.60374","0.02633"
"4.70000","0.78378","544.07227","41.20966","0.02626"
"4.80000","0.80034","530.95026","40.21576","0.02563"
"4.90000","0.81720","495.87314","37.55891","0.02523"
"5.00000","0.83371","441.47372","33.43854","0.02238"
"5.10000","0.85051","408.65634","30.95285","0.02046"
"5.20000","0.86713","391.26154","29.63531","0.01923"
"5.30000","0.88375","379.93042","28.77706","0.01844"
"5.40000","0.90049","370.58575","28.06927","0.01764"
"5.50000","0.91711","361.63202","27.39109","0.01676"
"5.60000","0.93373","353.35300","26.76401","0.01613"
"5.70000","0.95047","346.25192","26.22615","0.01522"
"5.80000","0.96710","338.70334","25.65440","0.01475"
"5.86800","0.97846","334.68079","25.34972","0.01402"
