Specimen label,"80i_45_1"
End date,"9/18/2018 12:03 PM"
Area,"13.20254",mm^2
Axial Gauge Length,"13.41501",mm
Maximum Load,"301.07541",N
Tensile stress at Yield (Offset 0.2 %),"20.96650",MPa
Modulus,"1844.89810",MPa
Tensile strain (Video axial strain) at Maximum Load,"0.01542",mm/mm
Tensile stress at Maximum Load,"22.80435",MPa
Specimen note 1,""

Time,Extension,Load,Tensile Stress,Axial Strain
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","-0.94239","-0.07138","0.00005"
"0.10000","0.00759","0.29290","0.02219","0.00006"
"0.20000","0.02810","11.44201","0.86665","0.00041"
"0.30000","0.04903","24.22005","1.83450","0.00075"
"0.40000","0.06714","35.36283","2.67849","0.00143"
"0.50000","0.08388","44.66795","3.38328","0.00171"
"0.60000","0.10045","53.82810","4.07710","0.00217"
"0.70000","0.11701","63.15920","4.78387","0.00239"
"0.80000","0.13363","72.72008","5.50804","0.00303"
"0.90000","0.15037","81.93951","6.20634","0.00336"
"1.00000","0.16699","90.83902","6.88042","0.00366"
"1.10000","0.18367","99.88717","7.56575","0.00421"
"1.20000","0.20035","108.99226","8.25540","0.00454"
"1.30000","0.21698","117.95102","8.93396","0.00478"
"1.40000","0.23372","126.60557","9.58948","0.00512"
"1.50000","0.25034","135.07240","10.23079","0.00547"
"1.60000","0.26696","143.46608","10.86655","0.00594"
"1.70000","0.28370","152.03175","11.51534","0.00630"
"1.80000","0.30032","160.17043","12.13179","0.00683"
"1.90000","0.31694","168.46640","12.76015","0.00701"
"2.00000","0.33369","176.28712","13.35251","0.00735"
"2.10000","0.35025","184.33830","13.96233","0.00792"
"2.20000","0.36693","192.02795","14.54477","0.00798"
"2.30000","0.38367","199.11406","15.08149","0.00841"
"2.40000","0.40023","206.76372","15.66090","0.00901"
"2.50000","0.41697","213.61412","16.17977","0.00920"
"2.60000","0.43365","220.45314","16.69778","0.00973"
"2.70000","0.45022","227.50563","17.23195","0.01013"
"2.80000","0.46702","234.01025","17.72463","0.01059"
"2.90000","0.48358","241.08710","18.26066","0.01094"
"3.00000","0.50020","246.33995","18.65852","0.01138"
"3.10000","0.51700","252.94513","19.15882","0.01163"
"3.20000","0.53350","258.54172","19.58272","0.01191"
"3.30000","0.55030","264.56946","20.03928","0.01238"
"3.40000","0.56692","268.70737","20.35270","0.01272"
"3.50000","0.58361","275.13412","20.83948","0.01306"
"3.60000","0.60035","278.71423","21.11065","0.01346"
"3.70000","0.61691","283.90057","21.50348","0.01366"
"3.80000","0.63359","288.01572","21.81517","0.01396"
"3.90000","0.65033","291.03851","22.04412","0.01428"
"4.00000","0.66689","294.06625","22.27345","0.01439"
"4.10000","0.68363","297.09268","22.50269","0.01482"
"4.20000","0.70026","300.36038","22.75019","0.01509"
"4.30000","0.71688","301.01004","22.79940","0.01519"
"4.40000","0.73362","301.07541","22.80435","0.01542"
"4.50000","0.75024","300.87589","22.78924","0.01556"
"4.60000","0.76692","296.96835","22.49327","0.01551"
"4.70000","0.78366","290.58585","22.00984","0.01553"
"4.80000","0.80022","266.83469","20.21086","0.01426"
"4.90000","0.81702","105.93468","8.02381","0.00754"
"5.00000","0.83365","109.80624","8.31705","0.00753"
"5.10000","0.85033","109.93191","8.32657","0.00752"
"5.20000","0.86695","108.70255","8.23345","0.00769"
"5.30000","0.88357","106.75307","8.08580","0.00733"
"5.40000","0.90031","103.34035","7.82731","0.00733"
"5.50000","0.91693","100.22623","7.59143","0.00723"
"5.60000","0.93361","96.10625","7.27937","0.00731"
"5.70000","0.95029","94.83148","7.18282","0.00707"
"5.80000","0.96698","93.57123","7.08736","0.00688"
"5.90000","0.98360","91.43142","6.92529","0.00668"
"5.94000","0.99029","90.30809","6.84020","0.00661"
