Specimen label,"i100T_30_2"
End date,"8/17/2018 6:17 PM"
Area,"13.20254",mm^2
Axial Gauge Length,"14.57862",mm
Maximum Load,"421.87250",N
Tensile stress at Yield (Offset 0.2 %),"27.76914",MPa
Modulus,"2373.15706",MPa
Tensile strain (Video axial strain) at Maximum Load,"0.02151",mm/mm
Tensile stress at Maximum Load,"31.95388",MPa
Specimen note 1,""

Time,Extension,Load,Tensile Stress,Axial Strain
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","-0.85839","-0.06502","0.00041"
"0.10000","0.00891","2.88539","0.21855","0.00022"
"0.20000","0.02978","19.92768","1.50938","0.00053"
"0.30000","0.04974","37.70427","2.85583","0.00159"
"0.40000","0.06720","52.98545","4.01328","0.00195"
"0.50000","0.08388","67.04868","5.07847","0.00297"
"0.60000","0.10045","80.94614","6.13110","0.00345"
"0.70000","0.11707","94.84455","7.18381","0.00386"
"0.80000","0.13375","108.68964","8.23248","0.00432"
"0.90000","0.15043","122.54492","9.28192","0.00485"
"1.00000","0.16699","136.14845","10.31229","0.00528"
"1.10000","0.18373","149.88350","11.35262","0.00579"
"1.20000","0.20041","163.41495","12.37754","0.00611"
"1.30000","0.21710","176.85321","13.39539","0.00661"
"1.40000","0.23372","190.12180","14.40039","0.00704"
"1.50000","0.25046","203.32016","15.40007","0.00750"
"1.60000","0.26702","216.23485","16.37827","0.00783"
"1.70000","0.28376","229.13611","17.35545","0.00824"
"1.80000","0.30038","241.78102","18.31322","0.00875"
"1.90000","0.31706","254.27753","19.25974","0.00927"
"2.00000","0.33369","266.62363","20.19487","0.00975"
"2.10000","0.35043","278.64896","21.10570","0.01018"
"2.20000","0.36705","290.49786","22.00317","0.01065"
"2.30000","0.38367","302.12955","22.88419","0.01109"
"2.40000","0.40035","313.39325","23.73734","0.01167"
"2.50000","0.41709","324.26929","24.56112","0.01233"
"2.60000","0.43371","334.95752","25.37068","0.01284"
"2.70000","0.45033","345.21375","26.14752","0.01337"
"2.80000","0.46708","355.33804","26.91436","0.01391"
"2.90000","0.48364","364.85849","27.63547","0.01454"
"3.00000","0.50044","374.00696","28.32840","0.01518"
"3.10000","0.51700","382.42700","28.96616","0.01560"
"3.20000","0.53368","390.05408","29.54386","0.01623"
"3.30000","0.55036","397.46716","30.10535","0.01686"
"3.40000","0.56698","404.26596","30.62031","0.01739"
"3.50000","0.58373","409.94217","31.05024","0.01811"
"3.60000","0.60041","414.63544","31.40573","0.01895"
"3.70000","0.61697","418.12729","31.67021","0.01975"
"3.80000","0.63371","420.60776","31.85809","0.02060"
"3.90000","0.65039","421.87250","31.95388","0.02151"
"4.00000","0.66701","421.54102","31.92877","0.02249"
"4.10000","0.68369","419.98724","31.81109","0.02356"
"4.20000","0.70026","417.95148","31.65689","0.02464"
"4.30000","0.71706","415.39917","31.46357","0.02584"
"4.40000","0.73368","411.91110","31.19938","0.02694"
"4.50000","0.75042","407.00372","30.82767","0.02810"
"4.60000","0.76704","401.65686","30.42269","0.02947"
"4.70000","0.78372","395.81427","29.98015","0.03073"
"4.80000","0.80034","390.35666","29.56678","0.03199"
"4.90000","0.81702","385.53101","29.20127","0.03342"
"5.00000","0.83371","380.92642","28.85250","0.03482"
"5.10000","0.85039","376.16370","28.49176","0.03607"
"5.20000","0.86707","371.56512","28.14345","0.03741"
"5.30000","0.88369","366.96436","27.79498","0.03889"
"5.40000","0.90031","362.33313","27.44419","0.03996"
"5.50000","0.91705","357.39328","27.07003","0.04132"
"5.60000","0.93367","351.75455","26.64294","0.04260"
"5.70000","0.95035","344.17163","26.06859","0.04391"
"5.80000","0.96704","331.88495","25.13796","0.04534"
"5.90000","0.98366","312.33362","23.65708","0.04703"
"6.00000","1.00040","283.20459","21.45076","0.04902"
"6.10000","1.01702","255.21106","19.33045","0.05134"
"6.20000","1.03370","230.26053","17.44062","0.05357"
"6.30000","1.05038","169.64128","12.84914","0.05822"
"6.37800","1.06336","126.03277","9.54610","0.06150"
