Specimen label,"i100T_30_1"
End date,"8/17/2018 6:15 PM"
Area,"13.20254",mm^2
Axial Gauge Length,"14.10069",mm
Maximum Load,"476.09619",N
Tensile stress at Yield (Offset 0.2 %),"29.83704",MPa
Modulus,"2457.65051",MPa
Tensile strain (Video axial strain) at Maximum Load,"0.02232",mm/mm
Tensile stress at Maximum Load,"36.06094",MPa
Specimen note 1,""

Time,Extension,Load,Tensile Stress,Axial Strain
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","0.64063","0.04852","-0.00015"
"0.10000","0.00831","3.78555","0.28673","0.00029"
"0.20000","0.02924","21.24296","1.60901","0.00071"
"0.30000","0.04945","39.60478","2.99978","0.00129"
"0.40000","0.06726","55.55791","4.20812","0.00167"
"0.50000","0.08382","70.17530","5.31529","0.00225"
"0.60000","0.10039","84.47509","6.39840","0.00263"
"0.70000","0.11701","98.71506","7.47697","0.00309"
"0.80000","0.13375","113.07928","8.56496","0.00361"
"0.90000","0.15037","127.29290","9.64154","0.00411"
"1.00000","0.16705","141.33989","10.70550","0.00445"
"1.10000","0.18367","155.36221","11.76760","0.00494"
"1.20000","0.20041","169.28703","12.82230","0.00532"
"1.30000","0.21710","183.07547","13.86668","0.00563"
"1.40000","0.23366","196.83380","14.90878","0.00595"
"1.50000","0.25034","210.47215","15.94179","0.00642"
"1.60000","0.26702","223.99390","16.96597","0.00679"
"1.70000","0.28364","237.23471","17.96886","0.00731"
"1.80000","0.30044","250.53799","18.97650","0.00784"
"1.90000","0.31694","263.47623","19.95647","0.00826"
"2.00000","0.33369","276.40405","20.93567","0.00876"
"2.10000","0.35037","289.10901","21.89798","0.00918"
"2.20000","0.36699","301.64301","22.84734","0.00967"
"2.30000","0.38367","314.04031","23.78635","0.01022"
"2.40000","0.40029","326.04114","24.69533","0.01082"
"2.50000","0.41691","337.90189","25.59370","0.01135"
"2.60000","0.43371","349.56934","26.47742","0.01205"
"2.70000","0.45022","360.81946","27.32954","0.01266"
"2.80000","0.46702","372.03049","28.17870","0.01313"
"2.90000","0.48364","382.90430","29.00231","0.01361"
"3.00000","0.50026","393.43521","29.79996","0.01415"
"3.10000","0.51700","403.68002","30.57593","0.01484"
"3.20000","0.53368","413.40359","31.31242","0.01495"
"3.30000","0.55024","422.69583","32.01624","0.01534"
"3.40000","0.56704","431.61215","32.69159","0.01604"
"3.50000","0.58361","439.99091","33.32623","0.01675"
"3.60000","0.60035","447.80103","33.91779","0.01731"
"3.70000","0.61697","454.95813","34.45988","0.01794"
"3.80000","0.63365","461.34583","34.94371","0.01848"
"3.90000","0.65033","466.98572","35.37089","0.01928"
"4.00000","0.66695","471.32623","35.69965","0.01999"
"4.10000","0.68357","474.05820","35.90658","0.02074"
"4.20000","0.70037","475.94650","36.04961","0.02141"
"4.30000","0.71694","476.09619","36.06094","0.02232"
"4.40000","0.73368","475.17441","35.99113","0.02328"
"4.50000","0.75030","473.41367","35.85776","0.02416"
"4.60000","0.76698","471.25317","35.69412","0.02508"
"4.70000","0.78366","468.25259","35.46685","0.02617"
"4.80000","0.80028","466.08905","35.30297","0.02725"
