Specimen label,"i40_30_1"
End date,"8/17/2018 5:25 PM"
Area,"13.20254",mm^2
Axial Gauge Length,"14.40371",mm
Maximum Load,"266.61526",N
Tensile stress at Yield (Offset 0.2 %),"18.70411",MPa
Modulus,"1831.65428",MPa
Tensile strain (Video axial strain) at Maximum Load,"0.01707",mm/mm
Tensile stress at Maximum Load,"20.19423",MPa
Specimen note 1,""

Time,Extension,Load,Tensile Stress,Axial Strain
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","2.81149","0.21295","0.00015"
"0.10000","0.00903","5.67229","0.42964","0.00016"
"0.20000","0.02983","19.07441","1.44475","0.00052"
"0.30000","0.04974","33.03827","2.50242","0.00108"
"0.40000","0.06720","44.77980","3.39176","0.00170"
"0.50000","0.08388","55.70638","4.21937","0.00219"
"0.60000","0.10039","66.43316","5.03185","0.00273"
"0.70000","0.11707","77.01482","5.83333","0.00331"
"0.80000","0.13375","87.45160","6.62385","0.00385"
"0.90000","0.15031","97.87050","7.41300","0.00438"
"1.00000","0.16705","108.26135","8.20004","0.00485"
"1.10000","0.18367","118.41776","8.96931","0.00524"
"1.20000","0.20041","128.48294","9.73168","0.00562"
"1.30000","0.21710","138.36682","10.48032","0.00596"
"1.40000","0.23366","147.92422","11.20422","0.00625"
"1.50000","0.25040","157.45692","11.92626","0.00662"
"1.60000","0.26708","166.60953","12.61950","0.00715"
"1.70000","0.28364","175.41907","13.28676","0.00766"
"1.80000","0.30038","184.06390","13.94155","0.00828"
"1.90000","0.31700","192.50772","14.58111","0.00868"
"2.00000","0.33369","200.51384","15.18752","0.00920"
"2.10000","0.35037","208.29237","15.77669","0.00965"
"2.20000","0.36705","215.77794","16.34366","0.01019"
"2.30000","0.38367","222.99623","16.89040","0.01081"
"2.40000","0.40047","229.78308","17.40446","0.01126"
"2.50000","0.41691","236.12694","17.88496","0.01169"
"2.60000","0.43371","242.10330","18.33763","0.01201"
"2.70000","0.45027","247.84181","18.77228","0.01261"
"2.80000","0.46702","252.86871","19.15303","0.01296"
"2.90000","0.48364","257.09161","19.47289","0.01347"
"3.00000","0.50032","260.78989","19.75300","0.01388"
"3.10000","0.51694","263.39401","19.95025","0.01447"
"3.20000","0.53368","265.55188","20.11369","0.01529"
"3.30000","0.55030","266.38593","20.17686","0.01599"
"3.40000","0.56698","266.61526","20.19423","0.01707"
"3.50000","0.58367","265.57550","20.11548","0.01820"
"3.60000","0.60029","263.52628","19.96027","0.01929"
"3.70000","0.61703","260.48056","19.72957","0.02053"
"3.80000","0.63371","256.35538","19.41712","0.02176"
"3.90000","0.65033","250.41040","18.96683","0.02360"
"4.00000","0.66701","243.99240","18.48071","0.02490"
"4.10000","0.68363","238.33205","18.05198","0.02634"
"4.20000","0.70031","232.39691","17.60244","0.02788"
"4.30000","0.71706","223.73550","16.94639","0.02991"
"4.40000","0.73362","208.30981","15.77801","0.03266"
"4.50000","0.75036","186.89453","14.15595","0.03540"
"4.60000","0.76704","167.16240","12.66138","0.03772"
"4.70000","0.78366","152.52231","11.55249","0.03930"
"4.80000","0.80040","141.39445","10.70964","0.04093"
"4.90000","0.81702","132.81076","10.05948","0.04261"
"5.00000","0.83365","122.57639","9.28430","0.04426"
"5.10000","0.85039","98.68412","7.47463","0.04600"
"5.20000","0.86695","91.32159","6.91697","0.04777"
"5.30000","0.88369","87.94116","6.66093","0.04915"
"5.40000","0.90037","85.39046","6.46773","0.05051"
"5.50000","0.91699","83.76157","6.34435","0.05178"
"5.60000","0.93373","81.33215","6.16034","0.05323"
"5.64800","0.94169","79.96686","6.05693","0.05408"
