Specimen label,"i80_30_1"
End date,"8/17/2018 4:13 PM"
Area,"13.20254",mm^2
Axial Gauge Length,"15.66198",mm
Maximum Load,"200.87997",N
Tensile stress at Yield (Offset 0.2 %),"14.80930",MPa
Modulus,"1933.46787",MPa
Tensile strain (Video axial strain) at Maximum Load,"0.01002",mm/mm
Tensile stress at Maximum Load,"15.21525",MPa
Specimen note 1,""

Time,Extension,Load,Tensile Stress,Axial Strain
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","0.49869","0.03777","-0.00003"
"0.10000","0.00855","2.68103","0.20307","0.00015"
"0.20000","0.02954","16.33309","1.23712","0.00066"
"0.30000","0.04969","30.44390","2.30591","0.00124"
"0.40000","0.06720","42.46379","3.21633","0.00168"
"0.50000","0.08388","53.64894","4.06353","0.00245"
"0.60000","0.10045","64.38642","4.87682","0.00276"
"0.70000","0.11701","75.00266","5.68093","0.00327"
"0.80000","0.13375","85.65413","6.48770","0.00383"
"0.90000","0.15031","96.06361","7.27614","0.00450"
"1.00000","0.16705","106.21085","8.04473","0.00496"
"1.10000","0.18367","116.35126","8.81279","0.00543"
"1.20000","0.20035","126.17355","9.55676","0.00593"
"1.30000","0.21704","135.85986","10.29043","0.00638"
"1.40000","0.23372","145.40221","11.01320","0.00689"
"1.50000","0.25034","154.35811","11.69154","0.00738"
"1.60000","0.26702","163.43085","12.37874","0.00787"
"1.70000","0.28364","171.37483","12.98044","0.00828"
"1.80000","0.30038","179.56946","13.60113","0.00873"
"1.90000","0.31700","187.34375","14.18997","0.00920"
"2.00000","0.33363","194.41208","14.72535","0.00962"
"2.10000","0.35031","200.87997","15.21525","0.01002"
"2.20000","0.36705","197.05034","14.92518","0.00997"
"2.30000","0.38361","192.23637","14.56056","0.01220"
"2.33400","0.38935","59.51324","4.50771","0.02066"
