Specimen label,"i40_0_1"
End date,"8/17/2018 5:34 PM"
Area,"13.20254",mm^2
Axial Gauge Length,"12.98662",mm
Maximum Load,"452.92892",N
Tensile stress at Yield (Offset 0.2 %),"29.60951",MPa
Modulus,"2435.93094",MPa
Tensile strain (Video axial strain) at Maximum Load,"0.01829",mm/mm
Tensile stress at Maximum Load,"34.30619",MPa
Specimen note 1,""

Time,Extension,Load,Tensile Stress,Axial Strain
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","0.37205","0.02818","0.00005"
"0.10000","0.00831","1.34977","0.10224","0.00008"
"0.20000","0.02876","14.58079","1.10439","0.00052"
"0.30000","0.04933","29.55090","2.23827","0.00088"
"0.40000","0.06720","42.42250","3.21321","0.00148"
"0.50000","0.08394","53.91199","4.08346","0.00173"
"0.60000","0.10045","65.29523","4.94566","0.00195"
"0.70000","0.11713","76.54087","5.79743","0.00247"
"0.80000","0.13369","87.66052","6.63967","0.00275"
"0.90000","0.15049","98.98925","7.49774","0.00308"
"1.00000","0.16705","110.02639","8.33373","0.00332"
"1.10000","0.18373","120.97550","9.16304","0.00362"
"1.20000","0.20041","131.85347","9.98697","0.00414"
"1.30000","0.21704","142.53699","10.79618","0.00448"
"1.40000","0.23372","153.17194","11.60170","0.00485"
"1.50000","0.25040","163.82854","12.40886","0.00515"
"1.60000","0.26696","174.31093","13.20283","0.00550"
"1.70000","0.28382","184.72939","13.99195","0.00595"
"1.80000","0.30032","194.77373","14.75274","0.00644"
"1.90000","0.31700","205.07207","15.53277","0.00670"
"2.00000","0.33369","215.09343","16.29182","0.00704"
"2.10000","0.35043","225.10368","17.05002","0.00756"
"2.20000","0.36705","234.99303","17.79907","0.00788"
"2.30000","0.38373","244.64145","18.52987","0.00822"
"2.40000","0.40035","254.27371","19.25945","0.00861"
"2.50000","0.41697","263.79810","19.98085","0.00892"
"2.60000","0.43371","273.10510","20.68579","0.00926"
"2.70000","0.45039","282.36676","21.38730","0.00949"
"2.80000","0.46702","291.54013","22.08212","0.00988"
"2.90000","0.48358","300.46832","22.75837","0.01033"
"3.00000","0.50038","309.40933","23.43559","0.01068"
"3.10000","0.51694","317.93301","24.08119","0.01096"
"3.20000","0.53368","326.57568","24.73582","0.01124"
"3.30000","0.55036","334.87576","25.36449","0.01164"
"3.40000","0.56698","343.21307","25.99598","0.01203"
"3.50000","0.58367","351.15833","26.59778","0.01227"
"3.60000","0.60029","359.02286","27.19346","0.01260"
"3.70000","0.61709","366.70248","27.77514","0.01313"
"3.80000","0.63365","373.91489","28.32143","0.01321"
"3.90000","0.65033","381.21283","28.87420","0.01359"
"4.00000","0.66701","388.28500","29.40986","0.01401"
"4.10000","0.68369","394.70514","29.89614","0.01445"
"4.20000","0.70037","401.11331","30.38152","0.01476"
"4.30000","0.71700","407.09680","30.83473","0.01495"
"4.40000","0.73368","413.07294","31.28738","0.01539"
"4.50000","0.75030","418.41824","31.69225","0.01558"
"4.60000","0.76698","423.65808","32.08913","0.01590"
"4.70000","0.78372","428.78717","32.47762","0.01630"
"4.80000","0.80034","433.23276","32.81434","0.01646"
"4.90000","0.81696","437.37662","33.12821","0.01685"
"5.00000","0.83371","441.13818","33.41312","0.01700"
"5.10000","0.85033","444.56857","33.67295","0.01729"
"5.20000","0.86701","447.31076","33.88065","0.01749"
"5.30000","0.88363","449.95648","34.08105","0.01776"
"5.40000","0.90031","451.35797","34.18720","0.01795"
"5.50000","0.91705","452.54526","34.27713","0.01830"
"5.60000","0.93367","452.92892","34.30619","0.01829"
"5.70000","0.95035","452.03214","34.23826","0.01851"
"5.80000","0.96698","451.07162","34.16551","0.01888"
"5.90000","0.98372","449.15936","34.02067","0.01910"
"6.00000","1.00040","446.74585","33.83786","0.01924"
"6.10000","1.01708","443.96542","33.62727","0.01955"
"6.20000","1.03364","440.98962","33.40187","0.01984"
"6.30000","1.05032","438.20935","33.19128","0.02007"
"6.40000","1.06700","434.77185","32.93092","0.02024"
"6.50000","1.08369","431.74841","32.70191","0.02060"
"6.60000","1.10031","429.07867","32.49970","0.02072"
"6.70000","1.11693","426.01880","32.26793","0.02099"
"6.80000","1.13367","423.03522","32.04195","0.02126"
"6.90000","1.15041","420.37958","31.84080","0.02143"
"7.00000","1.16697","417.80722","31.64597","0.02169"
"7.10000","1.18371","414.94354","31.42906","0.02197"
"7.20000","1.20033","412.39359","31.23592","0.02233"
"7.30000","1.21708","409.90683","31.04757","0.02279"
"7.40000","1.23370","406.87531","30.81795","0.02316"
"7.50000","1.25038","404.64893","30.64932","0.02342"
"7.60000","1.26706","401.34341","30.39895","0.02334"
"7.70000","1.28362","398.54599","30.18706","0.02351"
"7.80000","1.30036","395.51199","29.95726","0.02370"
"7.90000","1.31704","392.75351","29.74832","0.02360"
"8.00000","1.33373","389.15482","29.47575","0.02361"
"8.10000","1.35035","385.51193","29.19982","0.02357"
"8.20000","1.36697","381.79501","28.91829","0.02388"
"8.30000","1.38365","377.59052","28.59983","0.02359"
"8.40000","1.40033","372.85995","28.24153","0.02366"
"8.50000","1.41707","367.85858","27.86271","0.02347"
"8.60000","1.43369","361.64368","27.39197","0.02321"
"8.70000","1.45031","354.38177","26.84193","0.02295"
"8.80000","1.46700","345.88901","26.19867","0.02238"
"8.90000","1.48368","336.53549","25.49020","0.02221"
"9.00000","1.50036","327.37286","24.79620","0.02171"
"9.10000","1.51704","319.03635","24.16476","0.02134"
"9.20000","1.53366","310.87491","23.54659","0.02113"
"9.30000","1.55040","303.09018","22.95695","0.02074"
"9.40000","1.56696","295.19742","22.35913","0.02054"
"9.50000","1.58365","288.21017","21.82990","0.02031"
"9.60000","1.60033","281.43796","21.31695","0.02002"
"9.70000","1.61695","274.73764","20.80945","0.01964"
"9.80000","1.63375","268.71695","20.35342","0.01941"
"9.90000","1.65031","262.42642","19.87696","0.01913"
"10.00000","1.66699","256.82913","19.45300","0.01892"
"10.10000","1.68367","252.15268","19.09880","0.01898"
"10.20000","1.70035","248.13055","18.79415","0.01880"
"10.30000","1.71704","243.84853","18.46981","0.01872"
"10.40000","1.73366","239.93486","18.17338","0.01810"
"10.50000","1.75034","235.47374","17.83548","0.01744"
"10.60000","1.76708","230.24304","17.43929","0.01712"
"10.70000","1.78370","224.21838","16.98297","0.01693"
"10.80000","1.80032","217.08612","16.44275","0.01684"
"10.90000","1.81706","209.13998","15.84089","0.01659"
"11.00000","1.83363","198.86139","15.06236","0.01582"
"11.10000","1.85037","180.44958","13.66779","0.01476"
"11.18000","1.86376","134.96259","10.22247","0.01239"
