Specimen label,"40i_0_2"
End date,"9/18/2018 11:39 AM"
Area,"13.20254",mm^2
Axial Gauge Length,"13.76318",mm
Maximum Load,"501.20633",N
Tensile stress at Yield (Offset 0.2 %),"29.42142",MPa
Modulus,"2256.36607",MPa
Tensile strain (Video axial strain) at Maximum Load,"0.02319",mm/mm
Tensile stress at Maximum Load,"37.96286",MPa
Specimen note 1,""

Time,Extension,Load,Tensile Stress,Axial Strain
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","-0.00006","-0.00117","-0.00009","0.00008"
"0.10000","0.00909","3.23128","0.24475","0.00015"
"0.20000","0.02966","16.73471","1.26754","0.00072"
"0.30000","0.04963","31.26024","2.36774","0.00113"
"0.40000","0.06708","44.19040","3.34711","0.00134"
"0.50000","0.08377","55.81629","4.22769","0.00182"
"0.60000","0.10039","67.36051","5.10209","0.00235"
"0.70000","0.11707","78.56642","5.95086","0.00257"
"0.80000","0.13363","89.81085","6.80254","0.00302"
"0.90000","0.15031","101.18418","7.66399","0.00352"
"1.00000","0.16693","111.98877","8.48236","0.00387"
"1.10000","0.18367","123.11783","9.32531","0.00441"
"1.20000","0.20029","134.10495","10.15751","0.00485"
"1.30000","0.21692","144.59535","10.95208","0.00526"
"1.40000","0.23366","155.15326","11.75177","0.00554"
"1.50000","0.25028","165.68980","12.54984","0.00585"
"1.60000","0.26690","176.12526","13.34025","0.00635"
"1.70000","0.28364","186.21901","14.10478","0.00656"
"1.80000","0.30026","196.54185","14.88667","0.00715"
"1.90000","0.31688","206.97919","15.67722","0.00746"
"2.00000","0.33363","217.35501","16.46312","0.00784"
"2.10000","0.35025","226.95631","17.19035","0.00823"
"2.20000","0.36693","236.53770","17.91607","0.00861"
"2.30000","0.38361","246.10995","18.64110","0.00891"
"2.40000","0.40023","255.99879","19.39011","0.00940"
"2.50000","0.41685","266.11057","20.15601","0.00962"
"2.60000","0.43359","275.78082","20.88846","0.01010"
"2.70000","0.45022","284.49808","21.54873","0.01033"
"2.80000","0.46696","293.39157","22.22235","0.01091"
"2.90000","0.48358","302.46805","22.90983","0.01131"
"3.00000","0.50026","312.06848","23.63700","0.01167"
"3.10000","0.51688","321.15942","24.32557","0.01218"
"3.20000","0.53350","329.53421","24.95990","0.01260"
"3.30000","0.55030","338.16162","25.61337","0.01304"
"3.40000","0.56686","347.20297","26.29819","0.01325"
"3.50000","0.58361","355.86981","26.95464","0.01363"
"3.60000","0.60029","363.74039","27.55078","0.01406"
"3.70000","0.61685","372.13077","28.18629","0.01444"
"3.80000","0.63359","380.26910","28.80272","0.01463"
"3.90000","0.65027","387.72089","29.36714","0.01501"
"4.00000","0.66683","395.37567","29.94693","0.01556"
"4.10000","0.68363","403.16196","30.53669","0.01587"
"4.20000","0.70020","409.94885","31.05075","0.01624"
"4.30000","0.71688","417.21606","31.60119","0.01664"
"4.40000","0.73356","424.60010","32.16048","0.01681"
"4.50000","0.75024","431.72189","32.69991","0.01736"
"4.60000","0.76686","438.09048","33.18228","0.01774"
"4.70000","0.78366","444.25055","33.64886","0.01806"
"4.80000","0.80016","449.98340","34.08308","0.01836"
"4.90000","0.81696","456.60522","34.58464","0.01879"
"5.00000","0.83359","461.76746","34.97564","0.01921"
"5.10000","0.85027","467.15305","35.38356","0.01983"
"5.20000","0.86689","472.71741","35.80503","0.01982"
"5.30000","0.88357","477.44562","36.16315","0.01980"
"5.40000","0.90019","481.94791","36.50417","0.01950"
"5.50000","0.91693","485.71725","36.78967","0.02006"
"5.60000","0.93355","490.36780","37.14192","0.02051"
"5.70000","0.95024","493.33286","37.36650","0.02072"
"5.80000","0.96698","496.27673","37.58948","0.02109"
"5.90000","0.98354","498.43082","37.75264","0.02169"
"6.00000","1.00028","500.21338","37.88765","0.02199"
"6.10000","1.01690","501.14603","37.95829","0.02263"
"6.20000","1.03358","501.20633","37.96286","0.02319"
"6.30000","1.05026","500.59277","37.91639","0.02442"
"6.40000","1.06688","498.57761","37.76376","0.02506"
"6.50000","1.08357","496.41602","37.60003","0.02602"
"6.60000","1.10025","493.00665","37.34179","0.02681"
"6.70000","1.11687","490.07452","37.11971","0.02769"
"6.80000","1.13361","485.39606","36.76535","0.02868"
"6.90000","1.15023","481.97464","36.50620","0.02973"
"7.00000","1.16691","478.33444","36.23048","0.03062"
"7.10000","1.18359","474.01581","35.90337","0.03161"
"7.20000","1.20022","471.69037","35.72723","0.03261"
"7.30000","1.21696","467.96527","35.44508","0.03366"
"7.40000","1.23358","465.52878","35.26054","0.03483"
"7.50000","1.25020","461.74677","34.97408","0.03565"
"7.60000","1.26694","458.86227","34.75560","0.03704"
"7.70000","1.28356","456.65588","34.58848","0.03829"
"7.80000","1.30018","453.67480","34.36268","0.03954"
"7.90000","1.31692","450.32309","34.10881","0.04067"
"8.00000","1.33355","448.94986","34.00480","0.04188"
"8.10000","1.35029","445.47223","33.74139","0.04292"
"8.20000","1.36691","443.13440","33.56432","0.04417"
"8.30000","1.38359","440.36841","33.35482","0.04541"
"8.40000","1.40033","437.64539","33.14857","0.04655"
"8.50000","1.41683","433.98358","32.87121","0.04787"
"8.60000","1.43357","431.83124","32.70819","0.04922"
"8.70000","1.45025","427.34583","32.36845","0.05054"
"8.80000","1.46688","423.71457","32.09341","0.05200"
"8.90000","1.48350","418.30234","31.68347","0.05362"
"9.00000","1.50030","412.42017","31.23793","0.05535"
"9.10000","1.51686","404.22021","30.61684","0.05734"
"9.14800","1.52481","399.25320","30.24063","0.05817"
