Specimen label,"i60_0_2"
End date,"8/17/2018 5:05 PM"
Area,"13.20254",mm^2
Axial Gauge Length,"13.95855",mm
Maximum Load,"472.84323",N
Tensile stress at Yield (Offset 0.2 %),"28.23081",MPa
Modulus,"2595.31943",MPa
Tensile strain (Video axial strain) at Maximum Load,"0.02183",mm/mm
Tensile stress at Maximum Load,"35.81456",MPa
Specimen note 1,""

Time,Extension,Load,Tensile Stress,Axial Strain
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","0.63033","0.04774","0.00001"
"0.10000","0.00819","3.21553","0.24355","0.00022"
"0.20000","0.02918","18.68900","1.41556","0.00093"
"0.30000","0.04951","35.01600","2.65222","0.00155"
"0.40000","0.06720","48.95348","3.70788","0.00212"
"0.50000","0.08382","61.55410","4.66229","0.00236"
"0.60000","0.10051","74.14291","5.61580","0.00263"
"0.70000","0.11701","86.62566","6.56129","0.00311"
"0.80000","0.13369","99.15695","7.51044","0.00322"
"0.90000","0.15037","111.52016","8.44687","0.00342"
"1.00000","0.16699","123.81245","9.37792","0.00383"
"1.10000","0.18373","135.94400","10.29680","0.00427"
"1.20000","0.20035","148.14066","11.22062","0.00465"
"1.30000","0.21698","160.15022","12.13026","0.00489"
"1.40000","0.23378","172.17595","13.04112","0.00532"
"1.50000","0.25028","183.83989","13.92458","0.00566"
"1.60000","0.26702","195.65256","14.81931","0.00611"
"1.70000","0.28364","207.26433","15.69882","0.00653"
"1.80000","0.30032","218.80742","16.57313","0.00694"
"1.90000","0.31700","230.20639","17.43652","0.00740"
"2.00000","0.33369","241.48248","18.29060","0.00783"
"2.10000","0.35031","252.64355","19.13598","0.00814"
"2.20000","0.36699","263.62244","19.96755","0.00868"
"2.30000","0.38373","274.50064","20.79150","0.00914"
"2.40000","0.40029","285.15308","21.59834","0.00956"
"2.50000","0.41697","295.78369","22.40354","0.01004"
"2.60000","0.43359","306.09671","23.18468","0.01049"
"2.70000","0.45033","316.28424","23.95631","0.01088"
