End date,"8/16/2018"
Specimen label,"D50L40N5d4"
Maximum Load,"14.33048",N
Extension at Maximum Load,"219.70100",mm
Maximum Slope (Automatic Young's),"0.07474",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00860"
"0.10000","0.02900","0.03011"
"0.20000","0.09088","0.04521"
"0.30000","0.14953","0.05195"
"0.40000","0.20167","0.06154"
"0.50000","0.25147","0.06851"
"0.60000","0.30116","0.07571"
"0.70000","0.35102","0.08485"
"0.80000","0.40101","0.09414"
"0.90000","0.45099","0.09907"
"1.00000","0.50104","0.10645"
"1.10000","0.55102","0.11541"
"1.20000","0.60088","0.12212"
"1.30000","0.65099","0.12509"
"1.40000","0.70109","0.13060"
"1.50000","0.75102","0.14218"
"1.60000","0.80100","0.14425"
"1.70000","0.85092","0.14886"
"1.80000","0.90091","0.15344"
"1.90000","0.95095","0.16186"
"2.00000","1.00106","0.16884"
"2.10000","1.05098","0.17366"
"2.20000","1.10096","0.17694"
"2.30000","1.15101","0.17979"
"2.40000","1.20093","0.18250"
"2.50000","1.25104","0.18529"
"2.60000","1.30102","0.18830"
"2.70000","1.35100","0.19021"
"2.80000","1.40099","0.19325"
"2.90000","1.45085","0.19959"
"3.00000","1.50096","0.20459"
"3.10000","1.55100","0.20849"
"3.20000","1.60104","0.21323"
"3.30000","1.65109","0.21770"
"3.40000","1.70095","0.22254"
"3.50000","1.75094","0.22909"
"3.60000","1.80098","0.23320"
"3.70000","1.85108","0.23706"
"3.80000","1.90101","0.23954"
"3.90000","1.95099","0.24761"
"4.00000","2.00104","0.25202"
"4.10000","2.05102","0.25731"
"4.20000","2.10106","0.26590"
"4.30000","2.15111","0.27097"
"4.40000","2.20097","0.27564"
"4.50000","2.25108","0.27841"
"4.60000","2.30094","0.28467"
"4.70000","2.35104","0.28985"
"4.80000","2.40097","0.29364"
"4.90000","2.45101","0.29825"
"5.00000","2.50106","0.30364"
"5.10000","2.55104","0.30803"
"5.20000","2.60102","0.31496"
"5.30000","2.65101","0.32008"
"5.40000","2.70105","0.32533"
"5.50000","2.75104","0.33051"
"5.60000","2.80108","0.33656"
"5.70000","2.85094","0.34084"
"5.80000","2.90099","0.34576"
"5.90000","2.95109","0.35029"
"6.00000","3.00096","0.36802"
"6.10000","3.05094","0.38436"
"6.20000","3.10098","0.36182"
"6.30000","3.15097","0.36958"
"6.40000","3.20107","0.38499"
"6.50000","3.25100","0.39230"
"6.60000","3.30104","0.40083"
"6.70000","3.35108","0.40564"
"6.80000","3.40101","0.41113"
"6.90000","3.45105","0.41684"
"7.00000","3.50104","0.42163"
"7.10000","3.55108","0.42491"
"7.20000","3.60088","0.43177"
"7.30000","3.65099","0.44012"
"7.40000","3.70103","0.44577"
"7.50000","3.75108","0.45130"
"7.60000","3.80112","0.44770"
"7.70000","3.85098","0.44980"
"7.80000","3.90091","0.45324"
"7.90000","3.95095","0.45789"
"8.00000","4.00112","0.46357"
"8.10000","4.05098","0.47118"
"8.20000","4.10102","0.47639"
"8.30000","4.15107","0.47878"
"8.40000","4.20093","0.48283"
"8.50000","4.25098","0.48972"
"8.60000","4.30096","0.49742"
"8.70000","4.35094","0.51006"
"8.80000","4.40111","0.50754"
"8.90000","4.45097","0.51736"
"9.00000","4.50096","0.52208"
"9.10000","4.55106","0.52430"
"9.20000","4.60104","0.52741"
"9.30000","4.65103","0.52992"
"9.40000","4.70095","0.53474"
"9.50000","4.75100","0.54301"
"9.60000","4.80092","0.54881"
"9.70000","4.85108","0.55130"
"9.80000","4.90101","0.55420"
"9.90000","4.95099","0.56193"
"10.00000","5.00098","0.56245"
"10.10000","5.05102","0.57097"
"10.20000","5.10100","0.57674"
"10.30000","5.15105","0.58005"
"10.40000","5.20097","0.58678"
"10.50000","5.25108","0.58838"
"10.60000","5.30106","0.59196"
"10.70000","5.35104","0.59036"
"10.80000","5.40103","0.59201"
"10.90000","5.45107","0.59517"
"11.00000","5.50100","0.59996"
"11.10000","5.55098","0.60073"
"11.20000","5.60096","0.60586"
"11.30000","5.65095","0.60707"
"11.40000","5.70105","0.60916"
"11.50000","5.75098","0.61202"
"11.60000","5.80096","0.61508"
"11.70000","5.85094","0.61901"
"11.80000","5.90093","0.62163"
"11.90000","5.95103","0.62136"
"12.00000","6.00096","0.62231"
"12.10000","6.05094","0.62383"
"12.20000","6.10098","0.63065"
"12.30000","6.15091","0.63202"
"12.40000","6.20107","0.63689"
"12.50000","6.25100","0.64211"
"12.60000","6.30098","0.64498"
"12.70000","6.35108","0.64695"
"12.80000","6.40095","0.64974"
"12.90000","6.45093","0.65155"
"13.00000","6.50098","0.65577"
"13.10000","6.55102","0.65860"
"13.20000","6.60094","0.66380"
"13.30000","6.65105","0.66713"
"13.40000","6.70097","0.66817"
"13.50000","6.75102","0.66993"
"13.60000","6.80106","0.67804"
"13.70000","6.85092","0.68283"
"13.80000","6.90097","0.68785"
"13.90000","6.95095","0.69511"
"14.00000","7.00106","0.69994"
"14.10000","7.05098","0.70400"
"14.20000","7.10102","0.70768"
