End date,"8/16/2018"
Specimen label,"D32L50N4d4"
Maximum Load,"20.05550",N
Extension at Maximum Load,"64.50101",mm
Maximum Slope (Automatic Young's),"0.34893",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-0.00006","0.00557"
"0.10000","0.02708","0.05353"
"0.20000","0.08921","0.11663"
"0.30000","0.14906","0.13721"
"0.40000","0.20161","0.15848"
"0.50000","0.25159","0.17753"
"0.60000","0.30122","0.19278"
"0.70000","0.35108","0.20355"
"0.80000","0.40095","0.21482"
"0.90000","0.45093","0.22726"
"1.00000","0.50098","0.25796"
"1.10000","0.55108","0.27673"
"1.20000","0.60094","0.29480"
"1.30000","0.65099","0.31515"
"1.40000","0.70091","0.31891"
"1.50000","0.75102","0.33329"
"1.60000","0.80100","0.35226"
"1.70000","0.85098","0.37273"
"1.80000","0.90091","0.39415"
"1.90000","0.95095","0.41248"
"2.00000","1.00100","0.42626"
"2.10000","1.05104","0.44770"
"2.20000","1.10096","0.46238"
"2.30000","1.15095","0.47938"
"2.40000","1.20093","0.50095"
"2.50000","1.25092","0.52416"
"2.60000","1.30090","0.54114"
"2.70000","1.35094","0.56289"
"2.80000","1.40093","0.57663"
"2.90000","1.45103","0.59277"
"3.00000","1.50096","0.60656"
"3.10000","1.55106","0.61804"
"3.20000","1.60092","0.63342"
"3.30000","1.65097","0.65006"
"3.40000","1.70089","0.66523"
"3.50000","1.75094","0.68424"
"3.60000","1.80098","0.71284"
"3.70000","1.85102","0.72919"
"3.80000","1.90095","0.74768"
"3.90000","1.95105","0.77522"
"4.00000","2.00098","0.79358"
"4.10000","2.05102","0.79895"
"4.20000","2.10094","0.80922"
"4.30000","2.15093","0.82579"
"4.40000","2.20091","0.84396"
"4.50000","2.25108","0.86153"
"4.60000","2.30094","0.88420"
"4.70000","2.35098","0.90272"
"4.80000","2.40103","0.91758"
"4.90000","2.45095","0.93772"
"5.00000","2.50094","0.96213"
"5.10000","2.55092","0.98364"
"5.20000","2.60096","0.99904"
"5.30000","2.65101","1.01032"
"5.40000","2.70099","1.02175"
"5.50000","2.75098","1.03496"
"5.60000","2.80096","1.05179"
"5.70000","2.85088","1.07314"
"5.80000","2.90099","1.09017"
"5.90000","2.95091","1.11193"
"6.00000","3.00096","1.12947"
"6.10000","3.05088","1.14883"
"6.20000","3.10098","1.17082"
"6.30000","3.15103","1.18589"
"6.40000","3.20101","1.20578"
"6.50000","3.25094","1.22016"
"6.60000","3.30092","1.23807"
"6.70000","3.35096","1.25252"
"6.80000","3.40089","1.27638"
"6.90000","3.45099","1.29838"
"7.00000","3.50092","1.31373"
"7.10000","3.55096","1.32346"
"7.20000","3.60100","1.33494"
"7.30000","3.65087","1.35823"
"7.40000","3.70091","1.38108"
"7.50000","3.75102","1.39493"
"7.60000","3.80106","1.40988"
"7.70000","3.85092","1.42806"
"7.80000","3.90091","1.44336"
"7.90000","3.95089","1.45756"
"8.00000","4.00100","1.47365"
"8.10000","4.05104","1.49313"
"8.20000","4.10096","1.51058"
"8.30000","4.15089","1.53431"
"8.40000","4.20099","1.55021"
"8.50000","4.25086","1.57180"
"8.60000","4.30096","1.59404"
"8.70000","4.35088","1.60954"
"8.80000","4.40093","1.62181"
"8.90000","4.45097","1.63542"
"9.00000","4.50090","1.64676"
