End date,"8/16/2018"
Specimen label,"D32L50N6d4"
Maximum Load,"19.30017",N
Extension at Maximum Load,"96.10103",mm
Maximum Slope (Automatic Young's),"0.22871",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"18.00000","9.00108","2.11784"
"18.10000","9.05112","2.12726"
"18.20000","9.10110","2.13648"
"18.30000","9.15103","2.14639"
"18.40000","9.20107","2.15670"
"18.50000","9.25117","2.16980"
"18.60000","9.30116","2.17793"
"18.70000","9.35108","2.19491"
"18.80000","9.40107","2.20550"
"18.90000","9.45117","2.21970"
"19.00000","9.50109","2.22959"
"19.10000","9.55114","2.24032"
"19.20000","9.60100","2.25075"
"19.30000","9.65099","2.26106"
"19.40000","9.70103","2.27304"
"19.50000","9.75107","2.28363"
"19.60000","9.80112","2.29759"
"19.70000","9.85098","2.31443"
"19.80000","9.90121","2.32608"
"19.90000","9.95101","2.33898"
"20.00000","10.00105","2.35176"
"20.10000","10.05104","2.36375"
"20.20000","10.10102","2.37645"
"20.30000","10.15113","2.39132"
"20.40000","10.20105","2.40164"
"20.50000","10.25115","2.41221"
"20.60000","10.30108","2.42508"
"20.70000","10.35112","2.43175"
"20.80000","10.40111","2.44048"
"20.90000","10.45103","2.44648"
"21.00000","10.50107","2.45230"
"21.10000","10.55112","2.46229"
"21.20000","10.60116","2.46641"
"21.30000","10.65109","2.47400"
"21.40000","10.70113","2.48745"
"21.50000","10.75106","2.50187"
"21.60000","10.80110","2.51706"
"21.70000","10.85108","2.52987"
"21.80000","10.90107","2.54770"
"21.90000","10.95123","2.55639"
"22.00000","11.00115","2.57334"
"22.10000","11.05108","2.59400"
"22.20000","11.10112","2.60783"
"22.30000","11.15105","2.62352"
"22.40000","11.20109","2.63677"
"22.50000","11.25102","2.64625"
"22.60000","11.30106","2.65665"
"22.70000","11.35110","2.66591"
"22.80000","11.40109","2.67716"
"22.90000","11.45107","2.68425"
"23.00000","11.50111","2.69082"
"23.10000","11.55110","2.69761"
"23.20000","11.60114","2.70776"
"23.30000","11.65101","2.71638"
"23.40000","11.70117","2.72439"
"23.50000","11.75098","2.73700"
"23.60000","11.80102","2.74479"
"23.70000","11.85112","2.76046"
"23.80000","11.90117","2.76779"
"23.90000","11.95109","2.78385"
"24.00000","12.00107","2.79454"
"24.10000","12.05118","2.81019"
"24.20000","12.10110","2.82799"
"24.30000","12.15115","2.83811"
"24.40000","12.20113","2.85025"
"24.50000","12.25105","2.86262"
"24.60000","12.30128","2.87146"
"24.70000","12.35096","2.88205"
"24.80000","12.40107","2.89459"
"24.90000","12.45111","2.90171"
"25.00000","12.50115","2.91753"
"25.10000","12.55108","2.93168"
"25.20000","12.60106","2.94417"
"25.30000","12.65105","2.96327"
"25.40000","12.70109","2.97012"
"25.50000","12.75113","2.98090"
"25.60000","12.80112","2.99089"
"25.70000","12.85104","3.00214"
"25.80000","12.90109","3.00872"
"25.90000","12.95101","3.02145"
"26.00000","13.00117","3.03071"
"26.10000","13.05110","3.04097"
"26.20000","13.10108","3.05001"
"26.30000","13.15113","3.05846"
"26.40000","13.20105","3.06663"
"26.50000","13.25103","3.07652"
"26.60000","13.30108","3.08602"
"26.70000","13.35112","3.09665"
"26.80000","13.40123","3.10631"
"26.90000","13.45103","3.11836"
"27.00000","13.50107","3.13355"
"27.10000","13.55112","3.14944"
"27.20000","13.60116","3.16245"
"27.30000","13.65109","3.17773"
"27.40000","13.70113","3.19153"
"27.50000","13.75105","3.20712"
"27.60000","13.80110","3.21905"
"27.70000","13.85114","3.22996"
"27.80000","13.90107","3.24570"
"27.90000","13.95105","3.26036"
