End date,"8/16/2018"
Specimen label,"D32L50N8d4"
Maximum Load,"19.82815",N
Extension at Maximum Load,"144.65109",mm
Maximum Slope (Automatic Young's),"0.17154",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00006","0.00359"
"0.10000","0.02888","0.00798"
"0.20000","0.09076","0.01721"
"0.30000","0.14965","0.02757"
"0.40000","0.20167","0.03926"
"0.50000","0.25165","0.05185"
"0.60000","0.30128","0.06084"
"0.70000","0.35108","0.07261"
"0.80000","0.40107","0.08311"
"0.90000","0.45111","0.09252"
"1.00000","0.50098","0.10211"
"1.10000","0.55102","0.11692"
"1.20000","0.60100","0.12554"
"1.30000","0.65105","0.13364"
"1.40000","0.70091","0.14228"
"1.50000","0.75102","0.15553"
"1.60000","0.80100","0.15967"
"1.70000","0.85110","0.17265"
"1.80000","0.90097","0.17635"
"1.90000","0.95101","0.18422"
"2.00000","1.00094","0.18867"
"2.10000","1.05104","0.19359"
"2.20000","1.10102","0.19993"
"2.30000","1.15095","0.20786"
"2.40000","1.20099","0.21356"
"2.50000","1.25092","0.22087"
"2.60000","1.30102","0.22735"
"2.70000","1.35106","0.23467"
"2.80000","1.40099","0.24821"
"2.90000","1.45103","0.26089"
"3.00000","1.50102","0.26633"
"3.10000","1.55106","0.27816"
"3.20000","1.60104","0.28582"
"3.30000","1.65103","0.29402"
"3.40000","1.70101","0.30471"
"3.50000","1.75112","0.31512"
"3.60000","1.80098","0.32550"
"3.70000","1.85108","0.33470"
"3.80000","1.90101","0.34456"
"3.90000","1.95111","0.35573"
"4.00000","2.00104","0.36502"
"4.10000","2.05102","0.37334"
"4.20000","2.10094","0.38271"
"4.30000","2.15099","0.39053"
"4.40000","2.20103","0.39686"
"4.50000","2.25108","0.40535"
"4.60000","2.30100","0.41152"
"4.70000","2.35110","0.41730"
"4.80000","2.40103","0.42344"
"4.90000","2.45101","0.43397"
"5.00000","2.50100","0.44505"
"5.10000","2.55104","0.45184"
"5.20000","2.60102","0.46505"
"5.30000","2.65101","0.47182"
"5.40000","2.70099","0.47886"
"5.50000","2.75104","0.48396"
