End date,"8/16/2018"
Specimen label,"D32L50N5d7-6"
Maximum Load,"120.67461",N
Extension at Maximum Load,"24.56800",mm
Maximum Slope (Automatic Young's),"6.12002",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"7.60400","3.80297","23.06331"
"7.64600","3.82396","23.18884"
"7.68400","3.84291","23.31692"
"7.74000","3.87095","23.44338"
"7.78800","3.89493","23.56991"
"7.83400","3.91789","23.69933"
"7.87600","3.93887","23.82870"
"7.91800","3.95992","23.95603"
"7.96200","3.98198","24.08932"
"7.99000","3.99591","24.21707"
"8.02400","4.01295","24.34687"
"8.06000","4.03107","24.47513"
"8.09800","4.04990","24.60506"
"8.13000","4.06605","24.73097"
"8.18400","4.09295","24.85707"
"8.23400","4.11794","24.98207"
"8.29600","4.14892","25.10989"
"8.36000","4.18090","25.23783"
"8.41000","4.20595","25.36632"
"8.45200","4.22694","25.49368"
"8.51400","4.25791","25.62192"
"8.55400","4.27788","25.74970"
"8.59800","4.30006","25.87712"
"8.63600","4.31890","26.00583"
"8.68200","4.34204","26.13252"
"8.71000","4.35597","26.25954"
"8.74800","4.37492","26.38730"
"8.78600","4.39387","26.51544"
"8.81400","4.40792","26.64297"
"8.84200","4.42191","26.77283"
"8.87600","4.43895","26.90475"
"8.90400","4.45295","27.03676"
"8.93000","4.46598","27.16241"
"8.96400","4.48302","27.28935"
"8.99400","4.49797","27.42302"
"9.03400","4.51800","27.55198"
"9.08400","4.54281","27.68215"
"9.11800","4.55985","27.81388"
"9.17000","4.58592","27.94209"
"9.21600","4.60894","28.07311"
"9.26800","4.63494","28.20243"
"9.30000","4.65097","28.32751"
"9.33800","4.66998","28.45340"
"9.36600","4.68385","28.58511"
"9.39800","4.70006","28.71189"
"9.44400","4.72301","28.84352"
"9.48000","4.74095","28.96872"
"9.53400","4.76780","29.09569"
"9.59800","4.79990","29.22359"
"9.66400","4.83303","29.34881"
"9.73200","4.86699","29.47660"
"9.78800","4.89497","29.60338"
"9.86200","4.93198","29.73226"
"9.90800","4.95506","29.86209"
"9.96200","4.98202","29.99106"
"10.00000","5.00098","30.11980"
"10.04600","5.02405","30.24600"
"10.09400","5.04803","30.37874"
"10.12000","5.06100","30.51227"
"10.15400","5.07793","30.64208"
"10.19000","5.09598","30.76948"
