End date,"8/16/2018"
Specimen label,"D32L50N5d3-4"
Maximum Load,"12.22661",N
Extension at Maximum Load,"112.40103",mm
Maximum Slope (Automatic Young's),"0.12699",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00041"
"0.10000","0.02834","0.00090"
"0.20000","0.09034","0.00171"
"0.30000","0.14947","0.00641"
"0.40000","0.20173","0.01417"
"0.50000","0.25153","0.02568"
"0.60000","0.30128","0.03379"
"0.70000","0.35114","0.04256"
"0.80000","0.40107","0.04952"
"0.90000","0.45099","0.05775"
"1.00000","0.50104","0.06478"
"1.10000","0.55102","0.06975"
"1.20000","0.60100","0.07540"
"1.30000","0.65105","0.08300"
"1.40000","0.70103","0.09101"
"1.50000","0.75108","0.09928"
"1.60000","0.80100","0.10671"
"1.70000","0.85104","0.11455"
"1.80000","0.90115","0.12129"
"1.90000","0.95107","0.12507"
"2.00000","1.00106","0.13251"
"2.10000","1.05098","0.13637"
"2.20000","1.10096","0.14322"
"2.30000","1.15089","0.14853"
"2.40000","1.20105","0.15416"
"2.50000","1.25104","0.16440"
"2.60000","1.30102","0.17034"
"2.70000","1.35112","0.17482"
"2.80000","1.40111","0.18466"
"2.90000","1.45103","0.18847"
"3.00000","1.50108","0.19178"
"3.10000","1.55100","0.19802"
"3.20000","1.60110","0.19773"
"3.30000","1.65097","0.20604"
"3.40000","1.70101","0.21759"
"3.50000","1.75100","0.22144"
"3.60000","1.80104","0.22751"
"3.70000","1.85108","0.23398"
"3.80000","1.90101","0.23755"
"3.90000","1.95099","0.24563"
"4.00000","2.00104","0.25266"
"4.10000","2.05108","0.25960"
"4.20000","2.10100","0.26229"
"4.30000","2.15105","0.26789"
"4.40000","2.20103","0.27593"
"4.50000","2.25108","0.28344"
"4.60000","2.30112","0.28976"
"4.70000","2.35104","0.29721"
"4.80000","2.40103","0.30294"
"4.90000","2.45119","0.31117"
"5.00000","2.50106","0.31762"
"5.10000","2.55104","0.32510"
"5.20000","2.60102","0.33072"
"5.30000","2.65107","0.33814"
"5.40000","2.70111","0.34507"
"5.50000","2.75110","0.35218"
"5.60000","2.80108","0.35935"
"5.70000","2.85106","0.36765"
"5.80000","2.90111","0.37388"
"5.90000","2.95109","0.38062"
"6.00000","3.00108","0.38744"
"6.10000","3.05100","0.39435"
"6.20000","3.10104","0.39876"
"6.30000","3.15115","0.40398"
"6.40000","3.20095","0.40935"
"6.50000","3.25100","0.41494"
"6.60000","3.30104","0.42112"
"6.70000","3.35102","0.42684"
"6.80000","3.40107","0.43252"
"6.90000","3.45105","0.43739"
"7.00000","3.50110","0.44479"
"7.10000","3.55114","0.44894"
"7.20000","3.60100","0.45451"
"7.30000","3.65111","0.46230"
"7.40000","3.70103","0.46835"
"7.50000","3.75108","0.47527"
"7.60000","3.80094","0.47923"
"7.70000","3.85110","0.48876"
"7.80000","3.90109","0.49622"
"7.90000","3.95119","0.50140"
"8.00000","4.00117","0.50746"
"8.10000","4.05104","0.51802"
"8.20000","4.10096","0.52399"
"8.30000","4.15101","0.52946"
"8.40000","4.20111","0.53961"
"8.50000","4.25110","0.54418"
"8.60000","4.30108","0.55308"
"8.70000","4.35112","0.56137"
"8.80000","4.40105","0.56523"
"8.90000","4.45103","0.57435"
"9.00000","4.50102","0.57706"
"9.10000","4.55106","0.58021"
"9.20000","4.60116","0.58889"
"9.30000","4.65103","0.59330"
"9.40000","4.70095","0.59820"
"9.50000","4.75106","0.60397"
"9.60000","4.80104","0.60843"
"9.70000","4.85108","0.61227"
"9.80000","4.90101","0.61985"
"9.90000","4.95105","0.62540"
"10.00000","5.00098","0.63016"
"10.10000","5.05108","0.63813"
"10.20000","5.10106","0.64412"
"10.30000","5.15105","0.64639"
"10.40000","5.20103","0.65410"
"10.50000","5.25108","0.66015"
"10.60000","5.30106","0.66739"
"10.70000","5.35110","0.67409"
"10.80000","5.40103","0.68125"
"10.90000","5.45113","0.68702"
"11.00000","5.50112","0.69405"
"11.10000","5.55104","0.70410"
"11.20000","5.60108","0.70977"
"11.30000","5.65113","0.71623"
"11.40000","5.70099","0.72206"
"11.50000","5.75104","0.72938"
"11.60000","5.80102","0.73759"
"11.70000","5.85100","0.74301"
"11.80000","5.90111","0.74892"
"11.90000","5.95103","0.75504"
"12.00000","6.00108","0.76283"
"12.10000","6.05100","0.76762"
"12.20000","6.10098","0.77351"
"12.30000","6.15109","0.77825"
"12.40000","6.20101","0.78529"
"12.50000","6.25100","0.79080"
"12.60000","6.30104","0.79661"
"12.70000","6.35096","0.80451"
"12.80000","6.40107","0.80970"
"12.90000","6.45105","0.81507"
"13.00000","6.50098","0.82024"
"13.10000","6.55114","0.82517"
"13.20000","6.60100","0.83060"
"13.30000","6.65099","0.83726"
"13.40000","6.70103","0.84392"
"13.50000","6.75113","0.85145"
"13.60000","6.80100","0.85732"
"13.70000","6.85104","0.86434"
"13.80000","6.90103","0.87038"
"13.90000","6.95113","0.87684"
"14.00000","7.00111","0.88349"
"14.10000","7.05098","0.89186"
"14.20000","7.10096","0.89894"
"14.30000","7.15101","0.90498"
"14.40000","7.20111","0.91219"
"14.50000","7.25104","0.91898"
"14.60000","7.30102","0.92436"
"14.70000","7.35106","0.93152"
"14.80000","7.40105","0.93986"
"14.90000","7.45103","0.94727"
"15.00000","7.50102","0.95502"
"15.10000","7.55100","0.96178"
"15.20000","7.60110","0.96961"
"15.30000","7.65109","0.97225"
"15.40000","7.70095","0.97869"
"15.50000","7.75100","0.98579"
"15.60000","7.80104","0.99537"
"15.70000","7.85108","1.00180"
"15.80000","7.90095","1.00707"
"15.90000","7.95099","1.00749"
"16.00000","8.00098","1.01288"
"16.10000","8.05120","1.01820"
"16.20000","8.10106","1.02322"
"16.30000","8.15105","1.02868"
"16.40000","8.20097","1.03440"
"16.50000","8.25096","1.04022"
"16.60000","8.30100","1.04365"
"16.70000","8.35098","1.04711"
"16.80000","8.40109","1.05486"
"16.90000","8.45107","1.06167"
"17.00000","8.50111","1.06690"
"17.10000","8.55092","1.07265"
"17.20000","8.60102","1.07927"
"17.30000","8.65113","1.09120"
"17.40000","8.70105","1.09581"
"17.50000","8.75103","1.10262"
"17.60000","8.80108","1.11153"
"17.70000","8.85106","1.11985"
"17.80000","8.90099","1.12862"
"17.90000","8.95109","1.13228"
"18.00000","9.00102","1.14235"
"18.10000","9.05100","1.14888"
"18.20000","9.10104","1.15810"
"18.30000","9.15109","1.16018"
"18.40000","9.20101","1.16980"
"18.50000","9.25106","1.17799"
"18.60000","9.30110","1.18214"
"18.70000","9.35102","1.18813"
"18.80000","9.40095","1.19859"
"18.90000","9.45105","1.20426"
"19.00000","9.50109","1.20692"
"19.10000","9.55108","1.21226"
"19.20000","9.60118","1.21760"
"19.30000","9.65093","1.22212"
"19.40000","9.70103","1.22710"
"19.50000","9.75102","1.23160"
"19.60000","9.80112","1.23749"
"19.70000","9.85110","1.24154"
"19.80000","9.90103","1.24585"
"19.90000","9.95107","1.25172"
"20.00000","10.00105","1.25737"
"20.10000","10.05104","1.26337"
"20.20000","10.10108","1.27120"
"20.30000","10.15113","1.27730"
"20.40000","10.20111","1.28428"
"20.50000","10.25098","1.28826"
"20.60000","10.30108","1.29531"
"20.70000","10.35106","1.30290"
"20.80000","10.40111","1.31008"
"20.90000","10.45097","1.31519"
"21.00000","10.50107","1.32025"
"21.10000","10.55100","1.32704"
"21.20000","10.60104","1.33350"
"21.30000","10.65109","1.34124"
"21.40000","10.70095","1.34769"
"21.50000","10.75106","1.35680"
"21.60000","10.80104","1.36539"
"21.70000","10.85102","1.37186"
"21.80000","10.90113","1.37842"
"21.90000","10.95099","1.38501"
"22.00000","11.00103","1.39245"
"22.10000","11.05096","1.40153"
"22.20000","11.10106","1.40885"
"22.30000","11.15099","1.41190"
"22.40000","11.20109","1.41724"
"22.50000","11.25107","1.42333"
"22.60000","11.30118","1.43036"
"22.70000","11.35104","1.43556"
"22.80000","11.40103","1.44063"
"22.90000","11.45095","1.44600"
"23.00000","11.50105","1.45125"
"23.10000","11.55104","1.45665"
"23.20000","11.60102","1.46204"
"23.30000","11.65101","1.46811"
"23.40000","11.70117","1.47607"
"23.50000","11.75104","1.48165"
"23.60000","11.80102","1.48811"
"23.70000","11.85100","1.49589"
"23.80000","11.90105","1.50151"
"23.90000","11.95109","1.50988"
"24.00000","12.00107","1.51533"
"24.10000","12.05106","1.52361"
"24.20000","12.10104","1.52801"
"24.30000","12.15103","1.53592"
"24.40000","12.20101","1.54130"
"24.50000","12.25105","1.54837"
"24.60000","12.30104","1.55525"
"24.70000","12.35108","1.56117"
"24.80000","12.40107","1.56495"
"24.90000","12.45099","1.57143"
"25.00000","12.50110","1.58162"
"25.10000","12.55102","1.58720"
"25.20000","12.60106","1.59203"
"25.30000","12.65099","1.59966"
"25.40000","12.70103","1.60661"
"25.50000","12.75113","1.60889"
"25.60000","12.80112","1.61420"
"25.70000","12.85098","1.61890"
"25.80000","12.90103","1.62589"
"25.90000","12.95095","1.62662"
"26.00000","13.00105","1.63026"
"26.10000","13.05116","1.63370"
"26.20000","13.10108","1.64304"
"26.30000","13.15107","1.65096"
"26.40000","13.20111","1.65914"
"26.50000","13.25109","1.66479"
"26.60000","13.30102","1.67305"
"26.70000","13.35112","1.68046"
"26.80000","13.40105","1.68812"
"26.90000","13.45103","1.69462"
"27.00000","13.50102","1.70243"
"27.10000","13.55106","1.71169"
"27.20000","13.60110","1.71928"
"27.30000","13.65097","1.72625"
"27.40000","13.70107","1.73286"
"27.50000","13.75094","1.74123"
"27.60000","13.80098","1.75073"
"27.70000","13.85102","1.75478"
"27.80000","13.90107","1.76204"
"27.90000","13.95099","1.77003"
"28.00000","14.00103","1.77845"
"28.10000","14.05108","1.78578"
"28.20000","14.10100","1.79095"
"28.30000","14.15105","1.79775"
"28.40000","14.20103","1.80798"
"28.50000","14.25113","1.81038"
"28.60000","14.30112","1.81516"
"28.70000","14.35098","1.82092"
"28.80000","14.40097","1.82626"
"28.90000","14.45107","1.83253"
"29.00000","14.50105","1.83659"
"29.10000","14.55110","1.83917"
"29.20000","14.60102","1.84346"
"29.30000","14.65107","1.84703"
"29.40000","14.70111","1.85081"
"29.50000","14.75110","1.85921"
"29.60000","14.80102","1.86123"
"29.70000","14.85100","1.86059"
"29.80000","14.90105","1.86557"
"29.90000","14.95103","1.87637"
"30.00000","15.00107","1.88173"
"30.10000","15.05106","1.88668"
"30.20000","15.10104","1.89149"
"30.30000","15.15103","1.90023"
"30.40000","15.20101","1.90879"
"30.50000","15.25105","1.91375"
"30.60000","15.30104","1.92212"
"30.70000","15.35108","1.93018"
"30.80000","15.40101","1.93643"
"30.90000","15.45099","1.94276"
"31.00000","15.50109","1.95138"
"31.10000","15.55102","1.95981"
"31.20000","15.60100","1.96658"
"31.30000","15.65099","1.97843"
"31.40000","15.70103","1.98617"
"31.50000","15.75107","1.99138"
"31.60000","15.80100","1.99833"
"31.70000","15.85110","2.00869"
"31.80000","15.90103","2.01453"
"31.90000","15.95101","2.02182"
"32.00000","16.00093","2.02659"
"32.10000","16.05104","2.03123"
"32.20000","16.10108","2.03974"
"32.30000","16.15107","2.04820"
"32.40000","16.20111","2.05163"
"32.50000","16.25115","2.05600"
"32.60000","16.30102","2.06086"
"32.70000","16.35106","2.06466"
"32.80000","16.40104","2.07204"
"32.90000","16.45103","2.07826"
"33.00000","16.50101","2.08352"
"33.10000","16.55106","2.08955"
"33.20000","16.60104","2.09661"
"33.30000","16.65103","2.10224"
"33.40000","16.70101","2.10828"
"33.50000","16.75105","2.11264"
"33.60000","16.80104","2.11886"
"33.70000","16.85102","2.12630"
"33.80000","16.90107","2.13225"
"33.90000","16.95105","2.13846"
"34.00000","17.00103","2.14391"
"34.10000","17.05108","2.15027"
"34.20000","17.10106","2.15646"
"34.30000","17.15111","2.16051"
"34.40000","17.20103","2.16815"
"34.50000","17.25107","2.17600"
"34.60000","17.30100","2.18114"
"34.70000","17.35116","2.18611"
"34.80000","17.40103","2.19335"
"34.90000","17.45101","2.20088"
"35.00000","17.50111","2.20704"
"35.10000","17.55098","2.21471"
"35.20000","17.60102","2.22260"
"35.30000","17.65107","2.22766"
"35.40000","17.70105","2.23383"
"35.50000","17.75115","2.23984"
"35.60000","17.80114","2.24645"
"35.70000","17.85112","2.25163"
"35.80000","17.90105","2.25789"
"35.90000","17.95109","2.26381"
"36.00000","18.00107","2.26908"
"36.10000","18.05106","2.27519"
"36.20000","18.10104","2.28106"
"36.30000","18.15091","2.28783"
"36.40000","18.20107","2.29729"
"36.50000","18.25111","2.30433"
"36.60000","18.30104","2.31045"
"36.70000","18.35114","2.31659"
"36.80000","18.40107","2.32371"
"36.90000","18.45099","2.33053"
"37.00000","18.50097","2.34040"
"37.10000","18.55108","2.34739"
"37.20000","18.60106","2.35427"
"37.30000","18.65105","2.36063"
"37.40000","18.70109","2.36966"
"37.50000","18.75101","2.37780"
"37.60000","18.80106","2.38405"
"37.70000","18.85110","2.38794"
"37.80000","18.90103","2.39679"
"37.90000","18.95101","2.40320"
"38.00000","19.00105","2.40906"
"38.10000","19.05110","2.41510"
"38.20000","19.10102","2.42130"
"38.30000","19.15112","2.42804"
"38.40000","19.20111","2.43099"
"38.50000","19.25103","2.43709"
"38.60000","19.30108","2.44050"
"38.70000","19.35100","2.44341"
"38.80000","19.40111","2.44700"
"38.90000","19.45115","2.45059"
"39.00000","19.50107","2.45337"
"39.10000","19.55106","2.45733"
"39.20000","19.60098","2.45934"
"39.30000","19.65103","2.46586"
"39.40000","19.70107","2.46814"
"39.50000","19.75105","2.47476"
"39.60000","19.80098","2.48627"
"39.70000","19.85108","2.49322"
"39.80000","19.90113","2.49962"
"39.90000","19.95105","2.50628"
"40.00000","20.00115","2.51215"
"40.10000","20.05102","2.52694"
"40.20000","20.10106","2.52881"
"40.30000","20.15099","2.53623"
"40.40000","20.20103","2.54652"
"40.50000","20.25107","2.55565"
"40.60000","20.30100","2.56153"
"40.70000","20.35116","2.56930"
"40.80000","20.40102","2.57728"
"40.90000","20.45095","2.58626"
"41.00000","20.50117","2.59323"
"41.10000","20.55104","2.60272"
"41.20000","20.60102","2.60813"
"41.30000","20.65100","2.61736"
"41.40000","20.70093","2.62508"
"41.50000","20.75109","2.63107"
"41.60000","20.80114","2.63754"
"41.70000","20.85100","2.64435"
"41.80000","20.90111","2.65225"
"41.90000","20.95097","2.65813"
"42.00000","21.00101","2.66099"
"42.10000","21.05106","2.66956"
"42.20000","21.10104","2.67489"
"42.30000","21.15103","2.67933"
"42.40000","21.20113","2.68336"
"42.50000","21.25100","2.68664"
"42.60000","21.30110","2.69072"
"42.70000","21.35108","2.69430"
"42.80000","21.40107","2.70184"
"42.90000","21.45099","2.70488"
"43.00000","21.50092","2.70911"
"43.10000","21.55102","2.71380"
"43.20000","21.60106","2.71907"
"43.30000","21.65104","2.72378"
"43.40000","21.70103","2.73036"
"43.50000","21.75096","2.73968"
"43.60000","21.80106","2.74185"
"43.70000","21.85104","2.74905"
"43.80000","21.90103","2.75544"
"43.90000","21.95101","2.75958"
"44.00000","22.00099","2.76959"
"44.10000","22.05098","2.77741"
"44.20000","22.10108","2.78642"
"44.30000","22.15106","2.79471"
"44.40000","22.20105","2.80412"
"44.50000","22.25115","2.81188"
"44.60000","22.30102","2.82017"
"44.70000","22.35100","2.82530"
"44.80000","22.40105","2.83204"
"44.90000","22.45109","2.83959"
"45.00000","22.50113","2.84655"
"45.10000","22.55100","2.85260"
"45.20000","22.60092","2.86004"
"45.30000","22.65102","2.86672"
"45.40000","22.70107","2.87034"
"45.50000","22.75111","2.87602"
"45.60000","22.80098","2.88550"
"45.70000","22.85102","2.88938"
"45.80000","22.90101","2.89423"
"45.90000","22.95105","2.89894"
"46.00000","23.00103","2.90436"
"46.10000","23.05102","2.91106"
"46.20000","23.10106","2.92210"
"46.30000","23.15099","2.92644"
"46.40000","23.20103","2.93520"
"46.50000","23.25101","2.94266"
"46.60000","23.30106","2.95169"
"46.70000","23.35104","2.95962"
"46.80000","23.40103","2.96316"
"46.90000","23.45101","2.97195"
"47.00000","23.50105","2.97726"
"47.10000","23.55103","2.98186"
"47.20000","23.60102","2.98832"
"47.30000","23.65107","2.99559"
"47.40000","23.70099","2.99913"
"47.50000","23.75103","3.00660"
"47.60000","23.80102","3.01116"
"47.70000","23.85106","3.01726"
"47.80000","23.90104","3.02291"
"47.90000","23.95121","3.02719"
"48.00000","24.00095","3.03245"
"48.10000","24.05106","3.03813"
"48.20000","24.10098","3.04514"
"48.30000","24.15102","3.05049"
"48.40000","24.20113","3.05385"
"48.50000","24.25099","3.06065"
"48.60000","24.30104","3.06531"
"48.70000","24.35102","3.06973"
"48.80000","24.40107","3.07546"
"48.90000","24.45105","3.08094"
"49.00000","24.50103","3.08612"
"49.10000","24.55096","3.09151"
"49.20000","24.60100","3.09715"
"49.30000","24.65105","3.10322"
"49.40000","24.70109","3.10915"
"49.50000","24.75101","3.11494"
"49.60000","24.80100","3.12183"
"49.70000","24.85122","3.13220"
"49.80000","24.90109","3.14173"
"49.90000","24.95107","3.14677"
"50.00000","25.00105","3.15551"
"50.10000","25.05110","3.16083"
"50.20000","25.10102","3.16944"
"50.30000","25.15106","3.17955"
"50.40000","25.20105","3.18807"
"50.50000","25.25109","3.19508"
"50.60000","25.30102","3.20354"
"50.70000","25.35100","3.21147"
"50.80000","25.40104","3.22076"
"50.90000","25.45109","3.22859"
"51.00000","25.50113","3.23318"
"51.10000","25.55112","3.24391"
"51.20000","25.60098","3.25001"
"51.30000","25.65108","3.25606"
"51.40000","25.70107","3.26323"
"51.50000","25.75105","3.27221"
"51.60000","25.80098","3.27623"
"51.70000","25.85102","3.27606"
"51.80000","25.90118","3.28133"
"51.90000","25.95105","3.28603"
"52.00000","26.00103","3.28885"
"52.10000","26.05096","3.29149"
"52.20000","26.10106","3.29612"
"52.30000","26.15099","3.29847"
"52.40000","26.20097","3.30182"
"52.50000","26.25107","3.30960"
"52.60000","26.30100","3.31667"
"52.70000","26.35098","3.32144"
"52.80000","26.40102","3.32166"
"52.90000","26.45101","3.33166"
"53.00000","26.50099","3.34052"
"53.10000","26.55104","3.34879"
"53.20000","26.60102","3.35401"
"53.30000","26.65101","3.36319"
"53.40000","26.70105","3.37024"
"53.50000","26.75115","3.37845"
"53.60000","26.80102","3.38498"
"53.70000","26.85112","3.39228"
"53.80000","26.90105","3.40148"
"53.90000","26.95103","3.40937"
"54.00000","27.00119","3.41674"
"54.10000","27.05100","3.42342"
"54.20000","27.10104","3.43125"
"54.30000","27.15108","3.43967"
"54.40000","27.20101","3.44918"
"54.50000","27.25099","3.45407"
"54.60000","27.30098","3.46202"
"54.70000","27.35102","3.46362"
"54.80000","27.40112","3.47312"
"54.90000","27.45099","3.48176"
"55.00000","27.50097","3.48855"
"55.10000","27.55090","3.49380"
"55.20000","27.60106","3.49610"
"55.30000","27.65104","3.50290"
"55.40000","27.70115","3.50938"
"55.50000","27.75101","3.51535"
"55.60000","27.80100","3.51713"
"55.70000","27.85098","3.52156"
"55.80000","27.90103","3.52610"
"55.90000","27.95107","3.53426"
"56.00000","28.00105","3.54003"
"56.10000","28.05110","3.54706"
"56.20000","28.10102","3.55182"
"56.30000","28.15095","3.56093"
"56.40000","28.20105","3.56703"
"56.50000","28.25109","3.57166"
"56.60000","28.30096","3.57624"
"56.70000","28.35106","3.58117"
"56.80000","28.40111","3.58911"
"56.90000","28.45103","3.59568"
"57.00000","28.50113","3.60091"
"57.10000","28.55106","3.60694"
"57.20000","28.60104","3.61312"
"57.30000","28.65103","3.61875"
"57.40000","28.70101","3.62559"
"57.50000","28.75099","3.63625"
"57.60000","28.80110","3.64246"
"57.70000","28.85102","3.64947"
"57.80000","28.90113","3.65405"
"57.90000","28.95093","3.66311"
"58.00000","29.00103","3.66995"
"58.10000","29.05102","3.67462"
"58.20000","29.10106","3.67978"
"58.30000","29.15105","3.68552"
"58.40000","29.20097","3.68975"
"58.50000","29.25095","3.69443"
"58.60000","29.30106","3.70043"
"58.70000","29.35104","3.70606"
"58.80000","29.40102","3.71346"
"58.90000","29.45101","3.71704"
"59.00000","29.50099","3.72264"
"59.10000","29.55104","3.73191"
"59.20000","29.60114","3.73944"
"59.30000","29.65100","3.74004"
"59.40000","29.70105","3.75298"
"59.50000","29.75103","3.76212"
"59.60000","29.80108","3.77008"
"59.70000","29.85100","3.77766"
"59.80000","29.90104","3.78855"
"59.90000","29.95103","3.79778"
"60.00000","30.00119","3.80418"
"60.10000","30.05112","3.81098"
"60.20000","30.10104","3.81668"
"60.30000","30.15108","3.82237"
"60.40000","30.20113","3.82865"
"60.50000","30.25099","3.83464"
"60.60000","30.30104","3.84300"
"60.70000","30.35096","3.84893"
"60.80000","30.40107","3.85400"
"60.90000","30.45105","3.85986"
"61.00000","30.50109","3.86471"
"61.10000","30.55108","3.86936"
"61.20000","30.60106","3.87707"
"61.30000","30.65110","3.88297"
"61.40000","30.70097","3.88774"
"61.50000","30.75101","3.89183"
"61.60000","30.80100","3.89587"
"61.70000","30.85098","3.90167"
"61.80000","30.90108","3.90610"
"61.90000","30.95107","3.91088"
"62.00000","31.00111","3.91577"
"62.10000","31.05104","3.92062"
"62.20000","31.10114","3.92571"
"62.30000","31.15106","3.93095"
"62.40000","31.20105","3.93631"
"62.50000","31.25109","3.94569"
"62.60000","31.30113","3.95076"
"62.70000","31.35106","3.95769"
"62.80000","31.40110","3.96600"
"62.90000","31.45103","3.97202"
"63.00000","31.50113","3.98143"
"63.10000","31.55100","3.98764"
"63.20000","31.60098","3.99581"
"63.30000","31.65102","4.00354"
"63.40000","31.70119","4.01155"
"63.50000","31.75105","4.01878"
"63.60000","31.80103","4.02619"
"63.70000","31.85114","4.03365"
"63.80000","31.90100","4.04170"
"63.90000","31.95105","4.04935"
"64.00000","32.00103","4.05780"
"64.10000","32.05101","4.06445"
"64.20000","32.10112","4.07305"
"64.30000","32.15104","4.08212"
"64.40000","32.20109","4.08939"
"64.50000","32.25101","4.09607"
"64.60000","32.30099","4.09582"
"64.70000","32.35110","4.10442"
"64.80000","32.40096","4.11207"
"64.90000","32.45107","4.11179"
"65.00000","32.50099","4.11649"
"65.10000","32.55109","4.12040"
"65.20000","32.60108","4.12241"
"65.30000","32.65112","4.13404"
"65.40000","32.70111","4.13820"
"65.50000","32.75103","4.13638"
"65.60000","32.80114","4.14509"
"65.70000","32.85106","4.15103"
"65.80000","32.90110","4.15607"
"65.90000","32.95103","4.16418"
"66.00000","33.00107","4.17071"
"66.10000","33.05117","4.17796"
"66.20000","33.10098","4.18458"
"66.30000","33.15102","4.19338"
"66.40000","33.20107","4.19912"
"66.50000","33.25111","4.20646"
"66.60000","33.30104","4.21382"
"66.70000","33.35102","4.21952"
"66.80000","33.40107","4.22687"
"66.90000","33.45105","4.23492"
"67.00000","33.50109","4.23972"
"67.10000","33.55101","4.24782"
"67.20000","33.60100","4.25584"
"67.30000","33.65110","4.26151"
"67.40000","33.70097","4.26749"
"67.50000","33.75107","4.27334"
"67.60000","33.80100","4.28015"
"67.70000","33.85104","4.28622"
"67.80000","33.90108","4.29332"
"67.90000","33.95101","4.30035"
"68.00000","34.00105","4.30622"
"68.10000","34.05103","4.31114"
"68.20000","34.10108","4.31762"
"68.30000","34.15112","4.32167"
"68.40000","34.20099","4.32908"
"68.50000","34.25109","4.33469"
"68.60000","34.30102","4.33954"
"68.70000","34.35118","4.34375"
"68.80000","34.40104","4.35236"
"68.90000","34.45103","4.35331"
"69.00000","34.50107","4.36482"
"69.10000","34.55106","4.37088"
"69.20000","34.60104","4.37612"
"69.30000","34.65102","4.38581"
"69.40000","34.70113","4.38931"
"69.50000","34.75111","4.39687"
"69.60000","34.80098","4.40260"
"69.70000","34.85114","4.41098"
"69.80000","34.90106","4.41454"
"69.90000","34.95105","4.42203"
"70.00000","35.00097","4.42917"
"70.10000","35.05107","4.43476"
"70.20000","35.10106","4.44142"
"70.30000","35.15110","4.44806"
"70.40000","35.20103","4.45944"
"70.50000","35.25107","4.46615"
"70.60000","35.30094","4.47351"
"70.70000","35.35104","4.48265"
"70.80000","35.40108","4.49128"
"70.90000","35.45107","4.49518"
"71.00000","35.50105","4.50344"
"71.10000","35.55109","4.50707"
"71.20000","35.60096","4.50986"
"71.30000","35.65113","4.51853"
"71.40000","35.70099","4.52173"
"71.50000","35.75103","4.52590"
"71.60000","35.80101","4.53124"
"71.70000","35.85100","4.53426"
"71.80000","35.90104","4.53987"
"71.90000","35.95103","4.54505"
"72.00000","36.00107","4.54974"
"72.10000","36.05106","4.55646"
"72.20000","36.10098","4.56313"
"72.30000","36.15102","4.56545"
"72.40000","36.20101","4.57899"
"72.50000","36.25105","4.58708"
"72.60000","36.30104","4.59297"
"72.70000","36.35102","4.60203"
"72.80000","36.40094","4.61073"
"72.90000","36.45111","4.61853"
"73.00000","36.50103","4.62648"
"73.10000","36.55108","4.63243"
"73.20000","36.60094","4.64075"
"73.30000","36.65105","4.64728"
"73.40000","36.70097","4.65283"
"73.50000","36.75107","4.66055"
"73.60000","36.80106","4.66736"
"73.70000","36.85110","4.67086"
"73.80000","36.90102","4.68003"
"73.90000","36.95089","4.68716"
"74.00000","37.00099","4.69210"
"74.10000","37.05104","4.69711"
"74.20000","37.10108","4.70150"
"74.30000","37.15100","4.71043"
"74.40000","37.20099","4.71515"
"74.50000","37.25097","4.71851"
"74.60000","37.30101","4.72344"
"74.70000","37.35112","4.72710"
"74.80000","37.40104","4.73107"
"74.90000","37.45109","4.73850"
"75.00000","37.50101","4.74289"
"75.10000","37.55106","4.74946"
"75.20000","37.60104","4.75329"
"75.30000","37.65108","4.76052"
"75.40000","37.70101","4.76742"
"75.50000","37.75117","4.77388"
"75.60000","37.80103","4.78077"
"75.70000","37.85108","4.78819"
"75.80000","37.90100","4.79433"
"75.90000","37.95099","4.80104"
"76.00000","38.00103","4.80921"
"76.10000","38.05102","4.81537"
"76.20000","38.10100","4.82229"
"76.30000","38.15104","4.82913"
"76.40000","38.20103","4.83486"
"76.50000","38.25107","4.84211"
"76.60000","38.30106","4.85162"
"76.70000","38.35098","4.85559"
"76.80000","38.40108","4.86361"
"76.90000","38.45101","4.87138"
"77.00000","38.50099","4.87953"
"77.10000","38.55104","4.88689"
"77.20000","38.60102","4.89289"
"77.30000","38.65107","4.90049"
"77.40000","38.70116","4.91092"
"77.50000","38.75103","4.91619"
"77.60000","38.80107","4.92221"
"77.70000","38.85118","4.92732"
