End date,"8/16/2018"
Specimen label,"D32L50N5d4-8"
Maximum Load,"32.98239",N
Extension at Maximum Load,"64.30096",mm
Maximum Slope (Automatic Young's),"0.59884",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-0.00006","0.00435"
"0.10000","0.02768","0.01669"
"0.20000","0.08998","0.05341"
"0.30000","0.14935","0.09925"
"0.40000","0.20167","0.14184"
"0.50000","0.25153","0.16864"
"0.60000","0.30122","0.19340"
"0.70000","0.35108","0.21812"
"0.80000","0.40107","0.24578"
"0.90000","0.45099","0.28082"
"1.00000","0.50110","0.31135"
"1.10000","0.55090","0.34541"
"1.20000","0.60100","0.37976"
"1.30000","0.65093","0.40521"
"1.40000","0.70091","0.43626"
"1.50000","0.75096","0.46270"
"1.60000","0.80100","0.49225"
"1.70000","0.85098","0.53019"
"1.80000","0.90091","0.57054"
"1.90000","0.95107","0.59340"
"2.00000","1.00094","0.61730"
"2.10000","1.05092","0.64616"
"2.20000","1.10096","0.67544"
"2.30000","1.15095","0.70927"
"2.40000","1.20093","0.74289"
"2.50000","1.25104","0.77512"
"2.60000","1.30102","0.80058"
"2.70000","1.35100","0.82966"
"2.80000","1.40099","0.85845"
"2.90000","1.45091","0.88947"
"3.00000","1.50096","0.92249"
"3.10000","1.55094","0.95705"
"3.20000","1.60104","0.98990"
"3.30000","1.65085","1.01357"
"3.40000","1.70101","1.03944"
"3.50000","1.75106","1.06441"
"3.60000","1.80104","1.10131"
"3.70000","1.85090","1.13577"
"3.80000","1.90101","1.17330"
"3.90000","1.95093","1.20092"
"4.00000","2.00098","1.22713"
"4.10000","2.05096","1.25172"
"4.20000","2.10094","1.27968"
"4.30000","2.15093","1.31101"
"4.40000","2.20091","1.34111"
"4.50000","2.25102","1.38154"
"4.60000","2.30106","1.41257"
"4.70000","2.35092","1.43751"
"4.80000","2.40091","1.46275"
"4.90000","2.45095","1.49449"
"5.00000","2.50100","1.52817"
"5.10000","2.55092","1.55782"
"5.20000","2.60102","1.59049"
"5.30000","2.65101","1.61575"
"5.40000","2.70093","1.63732"
"5.50000","2.75092","1.67202"
"5.60000","2.80090","1.70769"
"5.70000","2.85094","1.74469"
"5.80000","2.90105","1.77718"
"5.90000","2.95091","1.80964"
"6.00000","3.00102","1.83308"
"6.10000","3.05088","1.85364"
"6.20000","3.10104","1.87508"
"6.30000","3.15097","1.90437"
"6.40000","3.20101","1.94326"
"6.50000","3.25088","1.98045"
"6.60000","3.30092","2.01509"
"6.70000","3.35096","2.04418"
"6.80000","3.40107","2.07239"
"6.90000","3.45099","2.10012"
"7.00000","3.50110","2.12766"
"7.10000","3.55096","2.15634"
"7.20000","3.60088","2.18564"
"7.30000","3.65093","2.21965"
"7.40000","3.70103","2.24839"
"7.50000","3.75096","2.27566"
"7.60000","3.80100","2.31039"
"7.70000","3.85092","2.34368"
"7.80000","3.90097","2.37821"
"7.90000","3.95101","2.41025"
"8.00000","4.00100","2.43706"
"8.10000","4.05092","2.45178"
"8.20000","4.10096","2.47523"
"8.30000","4.15101","2.50768"
"8.40000","4.20105","2.54428"
"8.50000","4.25098","2.58227"
"8.60000","4.30102","2.61844"
"8.70000","4.35094","2.65453"
"8.80000","4.40093","2.67949"
"8.90000","4.45091","2.69765"
"9.00000","4.50096","2.71827"
"9.10000","4.55094","2.74966"
"9.20000","4.60110","2.78374"
"9.30000","4.65097","2.82172"
"9.40000","4.70095","2.85375"
"9.50000","4.75100","2.88133"
"9.60000","4.80098","2.90873"
"9.70000","4.85096","2.94433"
"9.80000","4.90095","2.97290"
"9.90000","4.95093","3.00377"
"10.00000","5.00110","3.03023"
"10.10000","5.05102","3.05622"
"10.20000","5.10100","3.07987"
"10.30000","5.15099","3.10694"
"10.40000","5.20103","3.14256"
"10.50000","5.25102","3.17954"
"10.60000","5.30100","3.21874"
"10.70000","5.35104","3.25040"
"10.80000","5.40091","3.27447"
"10.90000","5.45101","3.29698"
"11.00000","5.50100","3.31938"
"11.10000","5.55104","3.35119"
"11.20000","5.60108","3.38647"
"11.30000","5.65101","3.42302"
"11.40000","5.70105","3.45761"
"11.50000","5.75098","3.49025"
"11.60000","5.80096","3.51313"
"11.70000","5.85100","3.53921"
"11.80000","5.90099","3.56657"
"11.90000","5.95103","3.59577"
"12.00000","6.00096","3.62742"
"12.10000","6.05100","3.66160"
"12.20000","6.10098","3.68644"
"12.30000","6.15097","3.71085"
"12.40000","6.20095","3.74313"
"12.50000","6.25100","3.78313"
"12.60000","6.30104","3.81601"
"12.70000","6.35102","3.84607"
"12.80000","6.40101","3.87180"
"12.90000","6.45099","3.89798"
"13.00000","6.50098","3.92040"
"13.10000","6.55096","3.94520"
"13.20000","6.60088","3.98175"
"13.30000","6.65099","4.01696"
"13.40000","6.70103","4.05448"
"13.50000","6.75108","4.09129"
"13.60000","6.80094","4.11498"
"13.70000","6.85098","4.12864"
"13.80000","6.90091","4.16019"
"13.90000","6.95101","4.19444"
"14.00000","7.00100","4.22623"
"14.10000","7.05092","4.25919"
"14.20000","7.10096","4.28957"
"14.30000","7.15107","4.31639"
"14.40000","7.20093","4.34214"
"14.50000","7.25104","4.36976"
"14.60000","7.30096","4.40408"
"14.70000","7.35106","4.43278"
"14.80000","7.40099","4.46868"
