End date,"8/16/2018"
Specimen label,"D32L50N5d6-2"
Maximum Load,"65.60906",N
Extension at Maximum Load,"40.08703",mm
Maximum Slope (Automatic Young's),"2.07736",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00675"
"0.10000","0.02852","0.05990"
"0.20000","0.09076","0.11552"
"0.30000","0.14947","0.18428"
"0.40000","0.20149","0.24512"
"0.50000","0.25153","0.32061"
"0.60000","0.30122","0.36637"
"0.70000","0.35114","0.40254"
"0.80000","0.40101","0.45377"
"0.90000","0.45093","0.49474"
"1.00000","0.50098","0.53283"
"1.10000","0.55096","0.58841"
"1.20000","0.60100","0.62522"
"1.30000","0.65099","0.69827"
"1.40000","0.70103","0.77658"
"1.50000","0.75108","0.84206"
"1.60000","0.80100","0.97027"
"1.70000","0.85098","1.05919"
"1.80000","0.90103","1.16100"
"1.86000","0.93104","1.28733"
"1.96000","0.98085","1.39047"
"2.02400","1.01301","1.51980"
"2.11400","1.05804","1.64498"
"2.18400","1.09295","1.77263"
"2.25600","1.12907","1.90162"
"2.33200","1.16703","2.02684"
"2.43200","1.21696","2.13929"
"2.53200","1.26694","2.19109"
"2.63200","1.31698","2.30302"
"2.73200","1.36703","2.36352"
"2.83000","1.41606","2.49113"
"2.91600","1.45898","2.61816"
"3.01400","1.50807","2.74427"
"3.08600","1.54400","2.86956"
"3.18600","1.59399","2.99415"
"3.25200","1.62699","3.11974"
"3.34000","1.67094","3.24638"
"3.44000","1.72104","3.32351"
"3.54000","1.77103","3.45135"
"3.64000","1.82107","3.55967"
"3.71800","1.85999","3.68476"
"3.81800","1.90998","3.80241"
"3.91800","1.96002","3.91229"
"4.00400","2.00301","4.03783"
"4.10000","2.05108","4.16348"
"4.20000","2.10100","4.28088"
"4.29000","2.14597","4.40701"
"4.37600","2.18895","4.53410"
"4.47600","2.23900","4.63764"
"4.53800","2.26991","4.76375"
"4.63800","2.31995","4.84427"
"4.73800","2.37000","4.94000"
"4.83800","2.41998","4.96771"
"4.93800","2.47003","5.02983"
"5.03800","2.51989","5.07540"
"5.13800","2.56993","5.15695"
"5.23800","2.61998","5.19317"
"5.33800","2.66996","5.25237"
"5.43800","2.72007","5.31839"
"5.53800","2.76993","5.38631"
"5.63800","2.81997","5.45990"
"5.73800","2.86996","5.52957"
"5.83800","2.92000","5.62966"
"5.93800","2.96999","5.70108"
"6.03800","3.01997","5.81067"
"6.13800","3.06989","5.89248"
"6.23800","3.12012","5.99654"
"6.33800","3.16992","6.11411"
"6.43800","3.22003","6.18666"
"6.53800","3.26995","6.28555"
"6.63800","3.31999","6.37180"
"6.73800","3.36980","6.45602"
"6.83800","3.42002","6.55743"
"6.93800","3.47006","6.66026"
"7.03800","3.52011","6.76471"
"7.13800","3.56997","6.86774"
"7.23800","3.61990","6.97958"
"7.33800","3.66988","7.07186"
"7.37000","3.68602","7.19794"
"7.45400","3.72812","7.32328"
"7.55400","3.77804","7.40326"
"7.65400","3.82797","7.52531"
"7.72000","3.86091","7.65305"
"7.78200","3.89200","7.77813"
"7.85200","3.92698","7.90727"
"7.95200","3.97702","7.96278"
"8.04400","4.02306","8.08821"
"8.10800","4.05505","8.21348"
"8.20800","4.10503","8.29706"
"8.30800","4.15513","8.38250"
"8.40800","4.20500","8.47626"
"8.50800","4.25498","8.55361"
"8.60800","4.30497","8.62463"
"8.70800","4.35507","8.72217"
"8.80800","4.40499","8.81436"
"8.90800","4.45498","8.89182"
"9.00800","4.50496","8.98020"
"9.10800","4.55495","9.07998"
"9.20800","4.60505","9.16002"
"9.30800","4.65503","9.24225"
"9.40800","4.70496","9.31963"
"9.50800","4.75494","9.39851"
"9.58200","4.79195","9.52509"
"9.68200","4.84200","9.60342"
"9.78200","4.89198","9.69370"
"9.88200","4.94196","9.81879"
"9.98000","4.99099","9.94715"
"10.06600","5.03404","10.07457"
"10.15200","5.07703","10.20368"
"10.21000","5.10603","10.32952"
"10.30000","5.15093","10.45580"
"10.40000","5.20097","10.53397"
"10.45200","5.22704","10.66188"
"10.55200","5.27708","10.77792"
"10.65200","5.32701","10.83146"
"10.75000","5.37604","10.95753"
"10.85000","5.42590","11.06756"
"10.95000","5.47612","11.15847"
"11.05000","5.52605","11.25593"
"11.15000","5.57597","11.34601"
"11.25000","5.62596","11.44374"
"11.35000","5.67606","11.51319"
"11.45000","5.72604","11.60509"
"11.55000","5.77597","11.70009"
"11.65000","5.82601","11.80081"
"11.75000","5.87606","11.85931"
"11.85000","5.92598","11.96890"
"11.95000","5.97596","12.05142"
"12.05000","6.02595","12.16556"
"12.15000","6.07599","12.23664"
"12.25000","6.12604","12.33670"
"12.35000","6.17602","12.38917"
"12.45000","6.22594","12.48326"
"12.55000","6.27593","12.55255"
"12.65000","6.32597","12.62247"
"12.75000","6.37608","12.68040"
"12.85000","6.42594","12.75216"
"12.95000","6.47598","12.83254"
"13.05000","6.52603","12.92251"
"13.15000","6.57601","12.97968"
"13.25000","6.62594","13.08357"
"13.35000","6.67610","13.17907"
"13.45000","6.72596","13.28107"
"13.55000","6.77607","13.38550"
"13.65000","6.82593","13.50237"
"13.75000","6.87598","13.60844"
"13.84000","6.92100","13.73440"
"13.94000","6.97098","13.83194"
"14.01000","7.00608","13.95837"
"14.11000","7.05594","14.08457"
"14.21000","7.10599","14.21182"
"14.31000","7.15603","14.31679"
"14.39600","7.19902","14.44481"
"14.49600","7.24906","14.54622"
"14.59600","7.29899","14.67507"
"14.69600","7.34897","14.78702"
"14.79200","7.39710","14.91333"
"14.89000","7.44601","15.03881"
"14.96800","7.48499","15.16743"
"15.05800","7.53007","15.29438"
"15.15800","7.57994","15.39919"
"15.25400","7.62795","15.52604"
"15.35200","7.67692","15.65408"
"15.45200","7.72696","15.77357"
"15.54200","7.77198","15.90079"
"15.64200","7.82197","16.02566"
"15.73600","7.86908","16.15201"
"15.82800","7.91500","16.27738"
"15.92800","7.96504","16.37946"
"16.00000","8.00098","16.50623"
"16.10000","8.05102","16.59752"
"16.19400","8.09807","16.72382"
"16.29400","8.14794","16.81432"
"16.39400","8.19798","16.90310"
"16.49400","8.24797","16.98008"
"16.59400","8.29801","17.07154"
"16.69400","8.34799","17.14531"
"16.79400","8.39798","17.17551"
"16.89400","8.44802","17.20704"
"16.99400","8.49806","17.23885"
"17.09400","8.54805","17.27328"
"17.19400","8.59797","17.34313"
"17.29400","8.64790","17.37338"
"17.39400","8.69806","17.42655"
"17.49400","8.74793","17.48472"
"17.59400","8.79797","17.54895"
"17.69400","8.84795","17.62186"
"17.79400","8.89800","17.69319"
"17.88600","8.94404","17.82073"
"17.98600","8.99402","17.86241"
"18.08600","9.04400","17.97766"
"18.18600","9.09405","18.09843"
"18.28600","9.14403","18.20257"
"18.36000","9.18110","18.33017"
"18.46000","9.23097","18.43534"
"18.56000","9.28101","18.56110"
"18.66000","9.33093","18.68733"
"18.76000","9.38104","18.79994"
"18.86000","9.43102","18.90938"
"18.96000","9.48095","19.02568"
"19.06000","9.53105","19.13410"
"19.16000","9.58103","19.24096"
"19.26000","9.63108","19.31847"
"19.35000","9.67604","19.44666"
"19.45000","9.72596","19.54934"
"19.54800","9.77487","19.67627"
"19.61600","9.80895","19.80368"
"19.70800","9.85505","19.93191"
"19.80600","9.90396","20.06166"
"19.88000","9.94103","20.18786"
"19.98000","9.99107","20.25892"
"20.03000","10.01594","20.38538"
"20.13000","10.06599","20.51276"
"20.23000","10.11603","20.63367"
"20.33000","10.16607","20.69870"
"20.43000","10.21594","20.77473"
"20.53000","10.26604","20.90164"
"20.63000","10.31591","20.97122"
"20.73000","10.36589","21.09880"
"20.83000","10.41599","21.21087"
"20.93000","10.46604","21.28579"
"21.03000","10.51596","21.37903"
"21.12800","10.56499","21.50497"
"21.22800","10.61503","21.57491"
"21.32800","10.66496","21.64071"
