Specimen label,"80i_60_1"
End date,"9/18/2018 11:59 AM"
Area,"13.20254",mm^2
Axial Gauge Length,"14.09629",mm
Maximum Load,"442.43433",N
Tensile stress at Yield (Offset 0.2 %),"19.16340",MPa
Modulus,"2777.10650",MPa
Tensile strain (Video axial strain) at Maximum Load,"0.01784",mm/mm
Tensile stress at Maximum Load,"33.51130",MPa
Specimen note 1,""

Time,Extension,Load,Tensile Stress,Axial Strain
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","0.12718","0.00963","0.00005"
"0.10000","0.00795","2.96023","0.22422","0.00014"
"0.20000","0.02876","17.82272","1.34995","0.00059"
"0.30000","0.04933","34.99686","2.65077","0.00117"
"0.40000","0.06714","49.38985","3.74093","0.00140"
"0.50000","0.08388","62.17228","4.70911","0.00188"
"0.60000","0.10045","74.99184","5.68011","0.00214"
"0.70000","0.11701","87.51164","6.62839","0.00252"
"0.80000","0.13363","100.25185","7.59337","0.00289"
"0.90000","0.15037","112.63613","8.53140","0.00338"
"1.00000","0.16699","125.44820","9.50182","0.00368"
"1.10000","0.18373","137.54398","10.41799","0.00407"
"1.20000","0.20035","150.09967","11.36900","0.00434"
"1.30000","0.21698","162.04735","12.27395","0.00491"
"1.40000","0.23372","174.37485","13.20767","0.00538"
"1.50000","0.25034","185.97099","14.08600","0.00560"
"1.60000","0.26702","197.65083","14.97066","0.00613"
"1.70000","0.28370","209.43300","15.86308","0.00634"
"1.80000","0.30032","220.76657","16.72152","0.00686"
"1.90000","0.31700","232.32695","17.59714","0.00741"
"2.00000","0.33369","243.45068","18.43968","0.00752"
"2.10000","0.35037","254.62500","19.28606","0.00929"
"2.20000","0.36699","265.86661","20.13753","0.00957"
"2.30000","0.38361","276.66534","20.95546","0.01006"
"2.40000","0.40041","287.32394","21.76277","0.01030"
"2.50000","0.41697","297.74240","22.55190","0.01089"
"2.60000","0.43359","307.93082","23.32360","0.01101"
"2.70000","0.45027","317.59348","24.05548","0.01141"
"2.80000","0.46696","327.28836","24.78980","0.01175"
"2.90000","0.48358","337.00607","25.52584","0.01196"
"3.00000","0.50038","346.96771","26.28037","0.01241"
"3.10000","0.51694","356.26126","26.98429","0.01285"
"3.20000","0.53368","364.94592","27.64209","0.01307"
"3.30000","0.55030","373.58337","28.29632","0.01328"
"3.40000","0.56698","382.07767","28.93970","0.01371"
"3.50000","0.58367","390.08243","29.54601","0.01403"
"3.60000","0.60029","397.30917","30.09338","0.01454"
"3.70000","0.61691","404.17932","30.61375","0.01478"
"3.80000","0.63359","410.60989","31.10082","0.01524"
"3.90000","0.65033","416.83109","31.57203","0.01561"
"4.00000","0.66695","423.06732","32.04438","0.01614"
"4.10000","0.68363","427.70761","32.39585","0.01617"
"4.20000","0.70031","432.59433","32.76598","0.01654"
"4.30000","0.71688","436.58258","33.06807","0.01703"
"4.40000","0.73368","439.50861","33.28969","0.01756"
"4.50000","0.75036","441.31769","33.42672","0.01766"
"4.60000","0.76698","442.43433","33.51130","0.01784"
"4.70000","0.78366","441.39191","33.43234","0.01811"
"4.80000","0.80028","437.34866","33.12609","0.01833"
"4.90000","0.81696","427.89523","32.41006","0.01861"
"5.00000","0.83359","414.43491","31.39054","0.01892"
"5.10000","0.85027","388.53528","29.42882","0.01898"
"5.18000","0.86360","128.99757","9.77066","0.00570"
