End date,"8/16/2018"
Specimen label,"D32L25N5d4"
Maximum Load,"23.68072",N
Extension at Maximum Load,"85.45108",mm
Maximum Slope (Automatic Young's),"0.40103",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00406"
"0.10000","0.02804","0.01089"
"0.20000","0.09004","0.03854"
"0.30000","0.14935","0.06875"
"0.40000","0.20173","0.09489"
"0.50000","0.25159","0.11981"
"0.60000","0.30128","0.14447"
"0.70000","0.35108","0.16718"
"0.80000","0.40107","0.18291"
"0.90000","0.45099","0.19496"
"1.00000","0.50098","0.20897"
"1.10000","0.55102","0.22758"
"1.20000","0.60100","0.24964"
"1.30000","0.65105","0.27457"
"1.40000","0.70097","0.29504"
"1.50000","0.75102","0.31647"
"1.60000","0.80106","0.34083"
"1.70000","0.85104","0.36271"
"1.80000","0.90103","0.38460"
"1.90000","0.95095","0.40615"
"2.00000","1.00100","0.41793"
"2.10000","1.05104","0.44064"
"2.20000","1.10108","0.45839"
"2.30000","1.15101","0.48130"
"2.40000","1.20093","0.50005"
"2.50000","1.25104","0.52621"
"2.60000","1.30096","0.55018"
"2.70000","1.35100","0.57203"
"2.80000","1.40105","0.58905"
"2.90000","1.45103","0.60378"
"3.00000","1.50114","0.61943"
"3.10000","1.55094","0.63536"
"3.20000","1.60104","0.65470"
"3.30000","1.65103","0.68544"
"3.40000","1.70113","0.70558"
"3.50000","1.75100","0.72597"
"3.60000","1.80098","0.74845"
"3.70000","1.85096","0.76595"
"3.80000","1.90101","0.78824"
"3.90000","1.95105","0.80533"
"4.00000","2.00104","0.82144"
"4.10000","2.05096","0.84075"
"4.20000","2.10100","0.86158"
"4.30000","2.15087","0.88322"
"4.40000","2.20103","0.90599"
"4.50000","2.25096","0.92748"
"4.60000","2.30100","0.94920"
"4.70000","2.35098","0.97501"
"4.80000","2.40091","0.99745"
"4.90000","2.45095","1.01139"
"5.00000","2.50106","1.02544"
"5.10000","2.55104","1.03815"
"5.20000","2.60108","1.05944"
"5.30000","2.65095","1.08121"
"5.40000","2.70105","1.10726"
"5.50000","2.75098","1.13364"
"5.60000","2.80108","1.15511"
"5.70000","2.85100","1.17756"
"5.80000","2.90105","1.19739"
"5.90000","2.95097","1.21496"
"6.00000","3.00102","1.22952"
"6.10000","3.05106","1.24399"
"6.20000","3.10104","1.26141"
"6.30000","3.15103","1.28492"
"6.40000","3.20101","1.30495"
"6.50000","3.25094","1.32356"
"6.60000","3.30104","1.34727"
"6.70000","3.35096","1.37094"
"6.80000","3.40101","1.39190"
"6.90000","3.45093","1.41384"
"7.00000","3.50104","1.43097"
"7.10000","3.55102","1.44840"
"7.20000","3.60106","1.46642"
"7.30000","3.65099","1.48679"
"7.40000","3.70103","1.51020"
"7.50000","3.75090","1.53102"
"7.60000","3.80094","1.55269"
"7.70000","3.85098","1.57419"
"7.80000","3.90109","1.58954"
"7.90000","3.95095","1.61059"
"8.00000","4.00106","1.62611"
"8.10000","4.05098","1.64540"
"8.20000","4.10102","1.66463"
"8.30000","4.15101","1.68727"
"8.40000","4.20093","1.71139"
"8.50000","4.25098","1.73668"
"8.60000","4.30102","1.75950"
"8.70000","4.35100","1.78403"
"8.80000","4.40099","1.80326"
"8.90000","4.45097","1.82609"
"9.00000","4.50108","1.83943"
"9.10000","4.55094","1.84818"
"9.20000","4.60098","1.85788"
"9.30000","4.65097","1.87719"
"9.40000","4.70101","1.89748"
"9.50000","4.75106","1.91898"
"9.60000","4.80098","1.94388"
"9.70000","4.85090","1.97161"
"9.80000","4.90101","1.99663"
"9.90000","4.95093","2.01934"
"10.00000","5.00104","2.03943"
"10.10000","5.05102","2.05779"
"10.20000","5.10094","2.07420"
"10.30000","5.15087","2.09240"
"10.40000","5.20109","2.11498"
"10.50000","5.25102","2.13242"
"10.60000","5.30106","2.14885"
"10.70000","5.35098","2.16896"
"10.80000","5.40085","2.18956"
"10.90000","5.45089","2.21100"
"11.00000","5.50088","2.23295"
"11.10000","5.55104","2.25228"
"11.20000","5.60096","2.26975"
"11.30000","5.65101","2.29003"
"11.40000","5.70099","2.31202"
"11.50000","5.75092","2.33869"
"11.60000","5.80108","2.35960"
"11.70000","5.85100","2.38246"
"11.80000","5.90099","2.40246"
"11.90000","5.95091","2.42616"
"12.00000","6.00096","2.43889"
"12.10000","6.05094","2.44922"
"12.20000","6.10104","2.45959"
"12.30000","6.15097","2.47418"
"12.40000","6.20107","2.49994"
"12.50000","6.25100","2.52222"
"12.60000","6.30092","2.55167"
"12.70000","6.35096","2.57786"
"12.80000","6.40101","2.60046"
"12.90000","6.45105","2.62544"
"13.00000","6.50098","2.64801"
"13.10000","6.55102","2.66765"
"13.20000","6.60094","2.68187"
"13.30000","6.65093","2.69348"
"13.40000","6.70097","2.70612"
"13.50000","6.75102","2.72406"
"13.60000","6.80088","2.74283"
"13.70000","6.85104","2.76460"
"13.80000","6.90097","2.78839"
"13.90000","6.95101","2.81575"
"14.00000","7.00106","2.84002"
"14.10000","7.05098","2.85918"
"14.20000","7.10096","2.88239"
"14.30000","7.15101","2.89584"
"14.40000","7.20105","2.92024"
"14.50000","7.25098","2.94218"
"14.60000","7.30108","2.96498"
"14.70000","7.35106","2.98415"
"14.80000","7.40093","3.00089"
"14.90000","7.45103","3.01696"
"15.00000","7.50114","3.03449"
"15.10000","7.55100","3.05190"
"15.20000","7.60092","3.06758"
"15.30000","7.65103","3.08354"
"15.40000","7.70101","3.10181"
"15.50000","7.75100","3.12559"
"15.60000","7.80104","3.14856"
"15.70000","7.85102","3.17571"
"15.80000","7.90101","3.19964"
"15.90000","7.95105","3.22544"
"16.00000","8.00092","3.24867"
"16.10000","8.05102","3.27239"
"16.20000","8.10094","3.28411"
"16.30000","8.15099","3.29213"
"16.40000","8.20103","3.30328"
"16.50000","8.25107","3.32354"
"16.60000","8.30100","3.34410"
"16.70000","8.35104","3.36908"
"16.80000","8.40097","3.39257"
"16.90000","8.45101","3.41814"
"17.00000","8.50099","3.44051"
"17.10000","8.55098","3.46465"
"17.20000","8.60096","3.48581"
"17.30000","8.65101","3.50565"
"17.40000","8.70099","3.51614"
"17.50000","8.75092","3.53375"
"17.60000","8.80096","3.55502"
"17.70000","8.85106","3.57313"
"17.80000","8.90093","3.59216"
"17.90000","8.95097","3.61260"
"18.00000","9.00108","3.62897"
"18.10000","9.05100","3.65608"
"18.20000","9.10104","3.67540"
"18.30000","9.15103","3.69041"
"18.40000","9.20101","3.70715"
"18.50000","9.25106","3.72686"
"18.60000","9.30092","3.75366"
"18.70000","9.35096","3.77818"
"18.80000","9.40101","3.80339"
"18.90000","9.45105","3.82266"
"19.00000","9.50104","3.84194"
"19.10000","9.55102","3.85972"
"19.20000","9.60088","3.87703"
"19.30000","9.65105","3.89345"
"19.40000","9.70097","3.90912"
