End date,"8/16/2018"
Specimen label,"D32L65N5d4"
Maximum Load,"28.30387",N
Extension at Maximum Load,"115.45102",mm
Maximum Slope (Automatic Young's),"0.34484",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.01034"
"0.10000","0.02792","0.01651"
"0.20000","0.09004","0.03974"
"0.30000","0.14929","0.06293"
"0.40000","0.20161","0.08722"
"0.50000","0.25153","0.11365"
"0.60000","0.30110","0.13185"
"0.70000","0.35108","0.14958"
"0.80000","0.40101","0.16780"
"0.90000","0.45105","0.18082"
"1.00000","0.50110","0.19337"
"1.10000","0.55090","0.20530"
"1.20000","0.60094","0.21810"
"1.30000","0.65087","0.23730"
"1.40000","0.70103","0.25535"
"1.50000","0.75096","0.27543"
"1.60000","0.80100","0.29373"
"1.70000","0.85098","0.31154"
"1.80000","0.90097","0.33041"
"1.90000","0.95101","0.34968"
"2.00000","1.00100","0.36968"
"2.10000","1.05098","0.38737"
"2.20000","1.10096","0.40212"
"2.30000","1.15095","0.41901"
"2.40000","1.20093","0.43405"
"2.50000","1.25104","0.45126"
"2.60000","1.30102","0.46803"
"2.70000","1.35106","0.48763"
"2.80000","1.40099","0.50465"
"2.90000","1.45097","0.52544"
"3.00000","1.50090","0.54609"
"3.10000","1.55106","0.56351"
"3.20000","1.60104","0.58224"
"3.30000","1.65103","0.59552"
"3.40000","1.70101","0.60770"
"3.50000","1.75094","0.62313"
"3.60000","1.80092","0.63563"
"3.70000","1.85096","0.65512"
"3.80000","1.90107","0.67431"
"3.90000","1.95087","0.69361"
"4.00000","2.00104","0.71514"
"4.10000","2.05090","0.72956"
"4.20000","2.10100","0.75015"
"4.30000","2.15099","0.76796"
"4.40000","2.20091","0.78644"
"4.50000","2.25096","0.79803"
"4.60000","2.30100","0.81179"
"4.70000","2.35104","0.82916"
"4.80000","2.40097","0.84720"
"4.90000","2.45107","0.86483"
"5.00000","2.50100","0.88375"
"5.10000","2.55092","0.90118"
"5.20000","2.60090","0.91908"
"5.30000","2.65107","0.93914"
"5.40000","2.70099","0.95890"
"5.50000","2.75098","0.98098"
"5.60000","2.80102","0.99791"
"5.70000","2.85094","1.00700"
"5.80000","2.90099","1.02096"
"5.90000","2.95103","1.03108"
"6.00000","3.00102","1.04698"
"6.10000","3.05106","1.06474"
"6.20000","3.10104","1.08465"
"6.30000","3.15085","1.10358"
"6.40000","3.20107","1.12663"
"6.50000","3.25094","1.14796"
"6.60000","3.30098","1.16884"
"6.70000","3.35102","1.18758"
"6.80000","3.40101","1.20437"
"6.90000","3.45099","1.21671"
"7.00000","3.50110","1.22963"
"7.10000","3.55096","1.24245"
"7.20000","3.60100","1.25889"
"7.30000","3.65099","1.27542"
"7.40000","3.70097","1.29411"
"7.50000","3.75096","1.31047"
"7.60000","3.80106","1.32926"
"7.70000","3.85098","1.34545"
"7.80000","3.90097","1.36766"
"7.90000","3.95089","1.38721"
"8.00000","4.00106","1.40591"
"8.10000","4.05098","1.42189"
"8.20000","4.10096","1.43575"
"8.30000","4.15101","1.45089"
"8.40000","4.20099","1.46562"
"8.50000","4.25104","1.48254"
"8.60000","4.30102","1.50170"
"8.70000","4.35094","1.52230"
"8.80000","4.40105","1.54033"
"8.90000","4.45097","1.55738"
"9.00000","4.50096","1.57581"
"9.10000","4.55100","1.59260"
"9.20000","4.60104","1.60504"
"9.30000","4.65103","1.62112"
"9.40000","4.70101","1.63512"
"9.50000","4.75088","1.65200"
"9.60000","4.80110","1.66998"
"9.70000","4.85108","1.68973"
"9.80000","4.90101","1.71058"
"9.90000","4.95093","1.73259"
"10.00000","5.00098","1.75287"
"10.10000","5.05108","1.77151"
"10.20000","5.10100","1.79189"
"10.30000","5.15099","1.80846"
"10.40000","5.20103","1.82412"
"10.50000","5.25096","1.83591"
"10.60000","5.30094","1.84559"
"10.70000","5.35098","1.85496"
"10.80000","5.40097","1.87418"
"10.90000","5.45101","1.88500"
"11.00000","5.50100","1.90198"
"11.10000","5.55092","1.92247"
"11.20000","5.60090","1.94216"
"11.30000","5.65101","1.97013"
"11.40000","5.70099","1.98936"
"11.50000","5.75092","2.00883"
"11.60000","5.80096","2.02888"
"11.70000","5.85094","2.04273"
"11.80000","5.90105","2.05868"
"11.90000","5.95097","2.07276"
"12.00000","6.00108","2.08917"
"12.10000","6.05100","2.10501"
"12.20000","6.10110","2.12249"
"12.30000","6.15091","2.13840"
"12.40000","6.20095","2.15326"
"12.50000","6.25106","2.17012"
"12.60000","6.30104","2.18955"
"12.70000","6.35096","2.20728"
"12.80000","6.40101","2.22629"
"12.90000","6.45093","2.24318"
"13.00000","6.50104","2.25880"
"13.10000","6.55102","2.27445"
"13.20000","6.60100","2.29173"
