End date,"8/16/2018"
Specimen label,"D32L85N5d4"
Maximum Load,"23.09019",N
Extension at Maximum Load,"77.35085",mm
Maximum Slope (Automatic Young's),"0.34165",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"18.00000","9.00096","3.06341"
"18.10000","9.05088","3.07654"
"18.20000","9.10092","3.09078"
"18.30000","9.15097","3.10614"
"18.40000","9.20101","3.12626"
"18.50000","9.25106","3.14630"
"18.60000","9.30092","3.16640"
"18.70000","9.35102","3.19218"
"18.80000","9.40101","3.21207"
"18.90000","9.45099","3.23377"
"19.00000","9.50092","3.25448"
"19.10000","9.55096","3.26427"
"19.20000","9.60094","3.28019"
"19.30000","9.65093","3.28948"
"19.40000","9.70097","3.29827"
"19.50000","9.75096","3.31131"
"19.60000","9.80088","3.32956"
"19.70000","9.85098","3.34689"
"19.80000","9.90091","3.36780"
"19.90000","9.95101","3.38822"
"20.00000","10.00088","3.40924"
"20.10000","10.05098","3.42787"
"20.20000","10.10096","3.44945"
"20.30000","10.15095","3.46889"
"20.40000","10.20093","3.48483"
"20.50000","10.25098","3.50083"
"20.60000","10.30102","3.51299"
"20.70000","10.35088","3.52567"
"20.80000","10.40093","3.54353"
"20.90000","10.45091","3.56287"
"21.00000","10.50096","3.57565"
"21.10000","10.55100","3.59183"
"21.20000","10.60092","3.61007"
"21.30000","10.65097","3.62596"
"21.40000","10.70095","3.64651"
"21.50000","10.75099","3.66576"
"21.60000","10.80098","3.67852"
"21.70000","10.85090","3.69313"
"21.80000","10.90095","3.70699"
"21.90000","10.95105","3.72350"
"22.00000","11.00097","3.74636"
"22.10000","11.05102","3.76426"
"22.20000","11.10088","3.78807"
"22.30000","11.15099","3.80884"
"22.40000","11.20079","3.82495"
"22.50000","11.25095","3.83976"
"22.60000","11.30094","3.85779"
"22.70000","11.35104","3.87448"
"22.80000","11.40103","3.88721"
"22.90000","11.45089","3.90056"
"23.00000","11.50094","3.91322"
"23.10000","11.55092","3.92642"
"23.20000","11.60096","3.94367"
"23.30000","11.65095","3.96346"
"23.40000","11.70093","3.97998"
"23.50000","11.75092","4.00197"
"23.60000","11.80090","4.02278"
"23.70000","11.85100","4.04300"
"23.80000","11.90087","4.06431"
"23.90000","11.95091","4.08026"
"24.00000","12.00101","4.09766"
"24.10000","12.05094","4.11160"
"24.20000","12.10098","4.12494"
"24.30000","12.15097","4.13790"
"24.40000","12.20095","4.15101"
"24.50000","12.25105","4.16778"
"24.60000","12.30086","4.18696"
"24.70000","12.35096","4.20695"
"24.80000","12.40095","4.22371"
"24.90000","12.45105","4.24426"
"25.00000","12.50091","4.26220"
"25.10000","12.55090","4.27928"
"25.20000","12.60088","4.29606"
"25.30000","12.65099","4.31198"
"25.40000","12.70091","4.32591"
"25.50000","12.75101","4.34177"
"25.60000","12.80088","4.35433"
"25.70000","12.85098","4.37444"
"25.80000","12.90097","4.39113"
"25.90000","12.95101","4.41111"
"26.00000","13.00094","4.42716"
"26.10000","13.05098","4.45000"
"26.20000","13.10090","4.46657"
"26.30000","13.15089","4.48633"
"26.40000","13.20093","4.50071"
"26.50000","13.25091","4.51756"
"26.60000","13.30102","4.53184"
"26.70000","13.35094","4.54375"
"26.80000","13.40087","4.56415"
"26.90000","13.45091","4.57667"
"27.00000","13.50089","4.59916"
"27.10000","13.55100","4.61755"
"27.20000","13.60086","4.63849"
"27.30000","13.65097","4.65848"
"27.40000","13.70089","4.67432"
"27.50000","13.75094","4.68951"
"27.60000","13.80104","4.70529"
"27.70000","13.85096","4.71922"
"27.80000","13.90089","4.73578"
"27.90000","13.95105","4.74964"
"28.00000","14.00092","4.76633"
"28.10000","14.05090","4.78289"
"28.20000","14.10094","4.80104"
"28.30000","14.15099","4.81999"
"28.40000","14.20085","4.83820"
"28.50000","14.25095","4.85663"
"28.60000","14.30094","4.87649"
"28.70000","14.35104","4.89512"
"28.80000","14.40103","4.91320"
"28.90000","14.45083","4.93098"
"29.00000","14.50082","4.93953"
"29.10000","14.55086","4.94948"
"29.20000","14.60102","4.96504"
"29.30000","14.65095","4.98256"
"29.40000","14.70093","5.00028"
"29.50000","14.75092","5.02216"
"29.60000","14.80090","5.04302"
"29.70000","14.85100","5.06495"
"29.80000","14.90093","5.08627"
"29.90000","14.95091","5.10312"
"30.00000","15.00095","5.12093"
"30.10000","15.05100","5.13440"
"30.20000","15.10086","5.14822"
"30.30000","15.15097","5.16268"
"30.40000","15.20089","5.17535"
"30.50000","15.25099","5.19374"
"30.60000","15.30086","5.21035"
"30.70000","15.35090","5.22737"
"30.80000","15.40083","5.24450"
"30.90000","15.45099","5.26452"
"31.00000","15.50097","5.28212"
"31.10000","15.55096","5.30055"
"31.20000","15.60088","5.31655"
"31.30000","15.65093","5.33732"
"31.40000","15.70091","5.35172"
"31.50000","15.75095","5.36611"
"31.60000","15.80100","5.38346"
"31.70000","15.85086","5.39986"
"31.80000","15.90103","5.41957"
"31.90000","15.95089","5.43709"
"32.00000","16.00093","5.45711"
"32.10000","16.05098","5.47508"
"32.20000","16.10090","5.49395"
"32.30000","16.15095","5.50942"
"32.40000","16.20087","5.52516"
"32.50000","16.25097","5.53435"
"32.60000","16.30096","5.54816"
"32.70000","16.35100","5.56429"
"32.80000","16.40093","5.58182"
"32.90000","16.45085","5.59729"
"33.00000","16.50095","5.61756"
"33.10000","16.55100","5.64025"
"33.20000","16.60092","5.65982"
"33.30000","16.65091","5.68168"
"33.40000","16.70089","5.70015"
"33.50000","16.75093","5.72153"
"33.60000","16.80092","5.73797"
"33.70000","16.85102","5.75218"
"33.80000","16.90089","5.76406"
"33.90000","16.95105","5.77574"
"34.00000","17.00097","5.78402"
"34.10000","17.05090","5.80399"
"34.20000","17.10100","5.81951"
"34.30000","17.15092","5.83563"
"34.40000","17.20097","5.85846"
"34.50000","17.25089","5.87817"
"34.60000","17.30094","5.89899"
"34.70000","17.35092","5.91697"
"34.80000","17.40103","5.93851"
"34.90000","17.45089","5.95584"
"35.00000","17.50093","5.96955"
"35.10000","17.55092","5.98357"
"35.20000","17.60090","5.99720"
"35.30000","17.65089","6.01625"
"35.40000","17.70099","6.03359"
"35.50000","17.75097","6.05348"
"35.60000","17.80090","6.06633"
"35.70000","17.85088","6.08111"
"35.80000","17.90099","6.09602"
"35.90000","17.95091","6.11461"
"36.00000","18.00089","6.13105"
"36.10000","18.05100","6.14950"
"36.20000","18.10098","6.16433"
"36.30000","18.15097","6.18148"
"36.40000","18.20095","6.19835"
"36.50000","18.25082","6.21816"
"36.60000","18.30098","6.23920"
"36.70000","18.35090","6.25847"
"36.80000","18.40095","6.27730"
"36.90000","18.45093","6.29790"
"37.00000","18.50097","6.31974"
"37.10000","18.55096","6.33801"
"37.20000","18.60100","6.35387"
"37.30000","18.65087","6.36789"
"37.40000","18.70103","6.37427"
"37.50000","18.75095","6.38283"
"37.60000","18.80088","6.39331"
"37.70000","18.85092","6.40771"
"37.80000","18.90103","6.43354"
"37.90000","18.95107","6.44938"
"38.00000","19.00093","6.47218"
"38.10000","19.05092","6.49354"
"38.20000","19.10096","6.51366"
"38.30000","19.15089","6.53383"
"38.40000","19.20087","6.55601"
"38.50000","19.25097","6.56936"
"38.60000","19.30096","6.58906"
"38.70000","19.35088","6.60271"
"38.80000","19.40093","6.61743"
"38.90000","19.45085","6.63106"
"39.00000","19.50089","6.64407"
"39.10000","19.55094","6.66066"
"39.20000","19.60092","6.67639"
"39.30000","19.65091","6.69213"
"39.40000","19.70089","6.71407"
"39.50000","19.75093","6.73235"
"39.60000","19.80098","6.75099"
"39.70000","19.85090","6.76999"
"39.80000","19.90100","6.78598"
"39.90000","19.95093","6.79901"
"40.00000","20.00103","6.81819"
"40.10000","20.05090","6.83471"
"40.20000","20.10094","6.85556"
"40.30000","20.15099","6.87351"
"40.40000","20.20103","6.89075"
"40.50000","20.25095","6.91332"
"40.60000","20.30094","6.92712"
"40.70000","20.35092","6.94347"
"40.80000","20.40096","6.95858"
"40.90000","20.45101","6.96933"
"41.00000","20.50093","6.98488"
"41.10000","20.55086","6.99865"
"41.20000","20.60090","7.01386"
"41.30000","20.65100","7.03301"
"41.40000","20.70099","7.04983"
"41.50000","20.75097","7.07212"
"41.60000","20.80090","7.09341"
"41.70000","20.85094","7.11407"
"41.80000","20.90092","7.13442"
"41.90000","20.95091","7.15754"
"42.00000","21.00095","7.17695"
"42.10000","21.05094","7.18969"
"42.20000","21.10104","7.20123"
"42.30000","21.15085","7.21521"
"42.40000","21.20095","7.22926"
"42.50000","21.25100","7.23932"
